hd,jcd,rno,shiki,combo,payout,ninki
251130,24,1,単勝,1,140,
251130,24,1,複勝,1,150,
251130,24,1,複勝,5,210,
251130,24,1,２連単,1-5,790,4
251130,24,1,２連複,1-5,760,4
251130,24,1,拡連複,1-5,290,5
251130,24,1,拡連複,1-2,150,1
251130,24,1,拡連複,2-5,390,8
251130,24,1,３連単,1-5-2,2230,9
251130,24,1,３連複,1-2-5,590,3
251130,24,2,単勝,2,450,
251130,24,2,複勝,2,110,
251130,24,2,複勝,5,190,
251130,24,2,２連単,2-5,2470,9
251130,24,2,２連複,2-5,1150,5
251130,24,2,拡連複,2-5,290,4
251130,24,2,拡連複,2-3,520,8
251130,24,2,拡連複,3-5,450,6
251130,24,2,３連単,2-5-3,10670,33
251130,24,2,３連複,2-3-5,2530,10
251130,24,3,単勝,1,120,
251130,24,3,複勝,1,100,
251130,24,3,複勝,6,190,
251130,24,3,２連単,1-6,450,2
251130,24,3,２連複,1-6,180,1
251130,24,3,拡連複,1-6,180,1
251130,24,3,拡連複,1-4,480,9
251130,24,3,拡連複,4-6,510,10
251130,24,3,３連単,1-6-4,2900,9
251130,24,3,３連複,1-4-6,1050,5
251130,24,4,単勝,1,110,
251130,24,4,複勝,1,110,
251130,24,4,複勝,4,370,
251130,24,4,２連単,1-4,1810,5
251130,24,4,２連複,1-4,1320,4
251130,24,4,拡連複,1-4,380,6
251130,24,4,拡連複,1-5,370,5
251130,24,4,拡連複,4-5,1010,13
251130,24,4,３連単,1-4-5,5940,16
251130,24,4,３連複,1-4-5,3240,9
251130,24,5,単勝,1,130,
251130,24,5,複勝,1,150,
251130,24,5,複勝,6,200,
251130,24,5,２連単,1-6,370,2
251130,24,5,２連複,1-6,320,2
251130,24,5,拡連複,1-6,190,2
251130,24,5,拡連複,1-2,260,4
251130,24,5,拡連複,2-6,310,5
251130,24,5,３連単,1-6-2,1820,9
251130,24,5,３連複,1-2-6,430,2
251130,24,6,単勝,1,100,
251130,24,6,複勝,1,110,
251130,24,6,複勝,2,130,
251130,24,6,２連単,1-2,280,2
251130,24,6,２連複,1-2,190,1
251130,24,6,拡連複,1-2,130,1
251130,24,6,拡連複,1-4,270,4
251130,24,6,拡連複,2-4,600,8
251130,24,6,３連単,1-2-4,1250,5
251130,24,6,３連複,1-2-4,770,4
251130,24,7,単勝,1,100,
251130,24,7,複勝,1,100,
251130,24,7,複勝,2,140,
251130,24,7,２連単,1-2,330,2
251130,24,7,２連複,1-2,430,2
251130,24,7,拡連複,1-2,170,3
251130,24,7,拡連複,1-3,140,2
251130,24,7,拡連複,2-3,550,7
251130,24,7,３連単,1-2-3,810,2
251130,24,7,３連複,1-2-3,490,2
251130,24,8,単勝,1,130,
251130,24,8,複勝,1,100,
251130,24,8,複勝,5,880,
251130,24,8,２連単,1-5,1880,6
251130,24,8,２連複,1-5,1450,4
251130,24,8,拡連複,1-5,560,9
251130,24,8,拡連複,1-4,240,3
251130,24,8,拡連複,4-5,1030,13
251130,24,8,３連単,1-5-4,10360,28
251130,24,8,３連複,1-4-5,2490,9
251130,24,9,単勝,2,240,
251130,24,9,複勝,2,140,
251130,24,9,複勝,1,100,
251130,24,9,２連単,2-1,1040,4
251130,24,9,２連複,1-2,230,1
251130,24,9,拡連複,1-2,110,1
251130,24,9,拡連複,2-4,290,6
251130,24,9,拡連複,1-4,200,3
251130,24,9,３連単,2-1-4,3200,12
251130,24,9,３連複,1-2-4,410,2
251130,24,10,単勝,1,120,
251130,24,10,複勝,1,100,
251130,24,10,複勝,5,280,
251130,24,10,２連単,1-5,1020,5
251130,24,10,２連複,1-5,830,4
251130,24,10,拡連複,1-5,340,3
251130,24,10,拡連複,1-4,340,3
251130,24,10,拡連複,4-5,1080,13
251130,24,10,３連単,1-5-4,7170,18
251130,24,10,３連複,1-4-5,2710,7
251130,24,11,単勝,1,100,
251130,24,11,複勝,1,100,
251130,24,11,複勝,2,110,
251130,24,11,２連単,1-2,210,1
251130,24,11,２連複,1-2,190,1
251130,24,11,拡連複,1-2,160,2
251130,24,11,拡連複,1-6,840,11
251130,24,11,拡連複,2-6,800,10
251130,24,11,３連単,1-2-6,2380,9
251130,24,11,３連複,1-2-6,1600,7
251130,24,12,単勝,1,100,
251130,24,12,複勝,1,110,
251130,24,12,複勝,6,530,
251130,24,12,２連単,1-6,1490,5
251130,24,12,２連複,1-6,1180,5
251130,24,12,拡連複,1-6,290,5
251130,24,12,拡連複,1-3,150,1
251130,24,12,拡連複,3-6,480,7
251130,24,12,３連単,1-6-3,4850,17
251130,24,12,３連複,1-3-6,1150,6
251130,22,1,単勝,1,110,
251130,22,1,複勝,1,100,
251130,22,1,複勝,2,110,
251130,22,1,２連単,1-2,280,1
251130,22,1,２連複,1-2,240,1
251130,22,1,拡連複,1-2,130,1
251130,22,1,拡連複,1-3,130,2
251130,22,1,拡連複,2-3,250,4
251130,22,1,３連単,1-2-3,780,1
251130,22,1,３連複,1-2-3,360,1
251130,22,2,単勝,1,100,
251130,22,2,複勝,1,130,
251130,22,2,複勝,5,340,
251130,22,2,２連単,1-5,660,4
251130,22,2,２連複,1-5,580,4
251130,22,2,拡連複,1-5,180,3
251130,22,2,拡連複,1-4,160,2
251130,22,2,拡連複,4-5,440,7
251130,22,2,３連単,1-5-4,2070,10
251130,22,2,３連複,1-4-5,650,3
251130,22,3,単勝,3,450,
251130,22,3,複勝,3,180,
251130,22,3,複勝,4,370,
251130,22,3,２連単,3-4,3240,10
251130,22,3,２連複,3-4,2000,7
251130,22,3,拡連複,3-4,390,6
251130,22,3,拡連複,3-6,650,11
251130,22,3,拡連複,4-6,760,13
251130,22,3,３連単,3-4-6,11780,39
251130,22,3,３連複,3-4-6,4800,18
251130,22,4,単勝,1,110,
251130,22,4,複勝,1,100,
251130,22,4,複勝,3,200,
251130,22,4,２連単,1-3,480,2
251130,22,4,２連複,1-3,370,2
251130,22,4,拡連複,1-3,170,2
251130,22,4,拡連複,1-2,110,1
251130,22,4,拡連複,2-3,400,7
251130,22,4,３連単,1-3-2,1380,4
251130,22,4,３連複,1-2-3,450,2
251130,22,5,単勝,2,700,
251130,22,5,複勝,2,140,
251130,22,5,複勝,3,270,
251130,22,5,２連単,2-3,2520,8
251130,22,5,２連複,2-3,1380,4
251130,22,5,拡連複,2-3,230,4
251130,22,5,拡連複,1-2,140,1
251130,22,5,拡連複,1-3,160,2
251130,22,5,３連単,2-3-1,6210,19
251130,22,5,３連複,1-2-3,330,1
251130,22,6,単勝,1,130,
251130,22,6,複勝,1,100,
251130,22,6,複勝,2,180,
251130,22,6,２連単,1-2,790,3
251130,22,6,２連複,1-2,630,2
251130,22,6,拡連複,1-2,290,5
251130,22,6,拡連複,1-3,130,1
251130,22,6,拡連複,2-3,330,8
251130,22,6,３連単,1-2-3,2220,4
251130,22,6,３連複,1-2-3,600,3
251130,22,7,単勝,2,800,
251130,22,7,複勝,2,290,
251130,22,7,複勝,5,940,
251130,22,7,２連単,2-5,10860,18
251130,22,7,２連複,2-5,4360,10
251130,22,7,拡連複,2-5,800,11
251130,22,7,拡連複,2-6,1170,13
251130,22,7,拡連複,5-6,1760,15
251130,22,7,３連単,2-5-6,75640,83
251130,22,7,３連複,2-5-6,11250,19
