hd,jcd,rno,shiki,combo,payout,ninki
260228,24,1,単勝,2,620,
260228,24,1,複勝,2,130,
260228,24,1,複勝,1,100,
260228,24,1,２連単,2-1,1470,4
260228,24,1,２連複,1-2,170,1
260228,24,1,拡連複,1-2,100,1
260228,24,1,拡連複,2-4,250,4
260228,24,1,拡連複,1-4,340,7
260228,24,1,３連単,2-1-4,4770,18
260228,24,1,３連複,1-2-4,840,4
260228,24,2,単勝,2,250,
260228,24,2,複勝,2,100,
260228,24,2,複勝,1,120,
260228,24,2,２連単,2-1,630,2
260228,24,2,２連複,1-2,300,1
260228,24,2,拡連複,1-2,270,4
260228,24,2,拡連複,2-6,380,5
260228,24,2,拡連複,1-6,740,9
260228,24,2,３連単,2-1-6,4000,15
260228,24,2,３連複,1-2-6,1210,5
260228,24,3,単勝,2,250,
260228,24,3,複勝,2,100,
260228,24,3,複勝,1,100,
260228,24,3,２連単,2-1,930,3
260228,24,3,２連複,1-2,410,3
260228,24,3,拡連複,1-2,300,5
260228,24,3,拡連複,2-3,130,1
260228,24,3,拡連複,1-3,210,4
260228,24,3,３連単,2-1-3,1800,3
260228,24,3,３連複,1-2-3,320,1
260228,24,4,単勝,2,5500,
260228,24,4,複勝,2,540,
260228,24,4,複勝,4,370,
260228,24,4,２連単,2-4,5420,14
260228,24,4,２連複,2-4,2070,7
260228,24,4,拡連複,2-4,860,9
260228,24,4,拡連複,2-3,440,7
260228,24,4,拡連複,3-4,180,3
260228,24,4,３連単,2-4-3,15870,42
260228,24,4,３連複,2-3-4,1030,5
260228,24,5,単勝,1,200,
260228,24,5,複勝,1,110,
260228,24,5,複勝,6,210,
260228,24,5,２連単,1-6,1130,4
260228,24,5,２連複,1-6,890,4
260228,24,5,拡連複,1-6,230,2
260228,24,5,拡連複,1-3,300,5
260228,24,5,拡連複,3-6,480,9
260228,24,5,３連単,1-6-3,4280,14
260228,24,5,３連複,1-3-6,960,3
260228,24,6,単勝,5,210,
260228,24,6,複勝,5,120,
260228,24,6,複勝,1,130,
260228,24,6,２連単,5-1,1650,9
260228,24,6,２連複,1-5,1080,6
260228,24,6,拡連複,1-5,260,2
260228,24,6,拡連複,4-5,910,11
260228,24,6,拡連複,1-4,1510,13
260228,24,6,３連単,5-1-4,23550,49
260228,24,6,３連複,1-4-5,5560,12
260228,24,7,単勝,1,260,
260228,24,7,複勝,1,160,
260228,24,7,複勝,3,240,
260228,24,7,２連単,1-3,790,4
260228,24,7,２連複,1-3,380,3
260228,24,7,拡連複,1-3,160,4
260228,24,7,拡連複,1-2,130,2
260228,24,7,拡連複,2-3,120,1
260228,24,7,３連単,1-3-2,870,4
260228,24,7,３連複,1-2-3,140,1
260228,24,8,単勝,1,100,
260228,24,8,複勝,1,100,
260228,24,8,複勝,2,140,
260228,24,8,２連単,1-2,310,2
260228,24,8,２連複,1-2,150,1
260228,24,8,拡連複,1-2,150,3
260228,24,8,拡連複,1-3,100,1
260228,24,8,拡連複,2-3,180,4
260228,24,8,３連単,1-2-3,410,2
260228,24,8,３連複,1-2-3,150,1
260228,24,9,単勝,1,170,
260228,24,9,複勝,1,130,
260228,24,9,複勝,4,960,
260228,24,9,２連単,1-4,2740,6
260228,24,9,２連複,1-4,1980,5
260228,24,9,拡連複,1-4,690,10
260228,24,9,拡連複,1-5,120,1
260228,24,9,拡連複,4-5,520,8
260228,24,9,３連単,1-4-5,6010,19
260228,24,9,３連複,1-4-5,1570,4
260228,24,10,単勝,1,110,
260228,24,10,複勝,1,100,
260228,24,10,複勝,2,210,
260228,24,10,２連単,1-2,400,1
260228,24,10,２連複,1-2,550,3
260228,24,10,拡連複,1-2,300,5
260228,24,10,拡連複,1-5,280,4
260228,24,10,拡連複,2-5,980,14
260228,24,10,３連単,1-2-5,2860,15
260228,24,10,３連複,1-2-5,1220,9
260228,24,11,単勝,1,100,
260228,24,11,複勝,1,160,
260228,24,11,複勝,6,1460,
260228,24,11,２連単,1-6,3870,7
260228,24,11,２連複,1-6,2100,5
260228,24,11,拡連複,1-6,630,4
260228,24,11,拡連複,1-4,170,2
260228,24,11,拡連複,4-6,1290,12
260228,24,11,３連単,1-6-4,11330,24
260228,24,11,３連複,1-4-6,2140,7
260228,24,12,単勝,1,110,
260228,24,12,複勝,1,100,
260228,24,12,複勝,3,120,
260228,24,12,２連単,1-3,270,1
260228,24,12,２連複,1-3,290,2
260228,24,12,拡連複,1-3,110,1
260228,24,12,拡連複,1-6,300,5
260228,24,12,拡連複,3-6,790,12
260228,24,12,３連単,1-3-6,1960,9
260228,24,12,３連複,1-3-6,800,5
260228,23,1,単勝,1,180,
260228,23,1,複勝,1,120,
260228,23,1,複勝,3,170,
260228,23,1,２連単,1-3,610,3
260228,23,1,２連複,1-3,650,3
260228,23,1,拡連複,1-3,240,3
260228,23,1,拡連複,1-5,260,4
260228,23,1,拡連複,3-5,610,9
260228,23,1,３連単,1-3-5,2370,9
260228,23,1,３連複,1-3-5,1090,6
260228,23,2,単勝,1,130,
260228,23,2,複勝,1,110,
260228,23,2,複勝,2,120,
260228,23,2,２連単,1-2,210,1
260228,23,2,２連複,1-2,150,1
260228,23,2,拡連複,1-2,130,1
260228,23,2,拡連複,1-5,500,9
260228,23,2,拡連複,2-5,440,8
260228,23,2,３連単,1-2-5,1310,3
260228,23,2,３連複,1-2-5,760,3
260228,23,3,単勝,5,190,
260228,23,3,複勝,5,140,
260228,23,3,複勝,1,120,
260228,23,3,２連単,5-1,370,2
260228,23,3,２連複,1-5,180,1
260228,23,3,拡連複,1-5,110,1
260228,23,3,拡連複,3-5,220,5
260228,23,3,拡連複,1-3,130,2
260228,23,3,３連単,5-1-3,1050,4
260228,23,3,３連複,1-3-5,210,1
260228,23,4,単勝,2,440,
260228,23,4,複勝,2,120,
260228,23,4,複勝,1,100,
260228,23,4,２連単,2-1,670,2
260228,23,4,２連複,1-2,180,1
260228,23,4,拡連複,1-2,150,1
260228,23,4,拡連複,2-5,750,10
260228,23,4,拡連複,1-5,750,10
260228,23,4,３連単,2-1-5,9490,30
260228,23,4,３連複,1-2-5,1940,7
260228,23,5,単勝,1,180,
260228,23,5,複勝,1,120,
260228,23,5,複勝,2,200,
260228,23,5,２連単,1-2,380,2
260228,23,5,２連複,1-2,230,1
260228,23,5,拡連複,1-2,190,2
260228,23,5,拡連複,1-3,150,1
260228,23,5,拡連複,2-3,340,8
260228,23,5,３連単,1-2-3,1030,3
260228,23,5,３連複,1-2-3,410,1
260228,23,6,単勝,6,290,
260228,23,6,複勝,6,170,
260228,23,6,複勝,1,100,
260228,23,6,２連単,6-1,450,1
260228,23,6,２連複,1-6,350,1
260228,23,6,拡連複,1-6,140,1
260228,23,6,拡連複,2-6,210,3
260228,23,6,拡連複,1-2,180,2
260228,23,6,３連単,6-1-2,920,1
260228,23,6,３連複,1-2-6,250,1
260228,23,7,単勝,3,1320,
260228,23,7,複勝,3,350,
260228,23,7,複勝,2,180,
260228,23,7,２連単,3-2,4550,10
260228,23,7,２連複,2-3,7670,6
260228,23,7,拡連複,2-3,290,4
260228,23,7,拡連複,3-4,1160,10
260228,23,7,拡連複,2-4,1250,11
260228,23,7,３連単,3-2-4,83040,61
260228,23,7,３連複,2-3-4,11290,15
260228,23,8,単勝,1,230,
260228,23,8,複勝,1,120,
260228,23,8,複勝,4,560,
260228,23,8,２連単,1-4,1900,7
260228,23,8,２連複,1-4,1510,6
260228,23,8,拡連複,1-4,340,4
260228,23,8,拡連複,1-5,620,8
260228,23,8,拡連複,4-5,1170,13
260228,23,8,３連単,1-4-5,10360,33
260228,23,8,３連複,1-4-5,5720,14
260228,23,9,単勝,1,100,
260228,23,9,複勝,1,100,
260228,23,9,複勝,4,350,
260228,23,9,２連単,1-4,430,2
260228,23,9,２連複,1-4,370,2
260228,23,9,拡連複,1-4,220,2
260228,23,9,拡連複,1-5,250,4
260228,23,9,拡連複,4-5,620,12
260228,23,9,３連単,1-4-5,1680,6
260228,23,9,３連複,1-4-5,990,6
260228,23,10,単勝,2,590,
260228,23,10,複勝,2,110,
260228,23,10,複勝,1,100,
260228,23,10,２連単,2-1,630,3
260228,23,10,２連複,1-2,240,1
260228,23,10,拡連複,1-2,170,2
260228,23,10,拡連複,2-4,360,8
260228,23,10,拡連複,1-4,210,3
260228,23,10,３連単,2-1-4,2520,9
260228,23,10,３連複,1-2-4,620,3
260228,23,11,単勝,2,190,
260228,23,11,複勝,2,100,
260228,23,11,複勝,1,100,
260228,23,11,２連単,2-1,330,2
260228,23,11,２連複,1-2,130,1
260228,23,11,拡連複,1-2,100,1
260228,23,11,拡連複,2-3,200,4
260228,23,11,拡連複,1-3,160,2
260228,23,11,３連単,2-1-3,940,3
260228,23,11,３連複,1-2-3,250,1
260228,23,12,単勝,1,130,
260228,23,12,複勝,1,130,
260228,23,12,複勝,5,550,
260228,23,12,２連単,1-5,1280,5
260228,23,12,２連複,1-5,1120,4
260228,23,12,拡連複,1-5,280,4
260228,23,12,拡連複,1-4,250,3
260228,23,12,拡連複,4-5,1160,14
260228,23,12,３連単,1-5-4,7110,20
260228,23,12,３連複,1-4-5,1750,7
260228,22,1,単勝,4,3880,
260228,22,1,複勝,4,110,
260228,22,1,複勝,2,150,
260228,22,1,２連単,4-2,19130,19
260228,22,1,２連複,2-4,6420,7
260228,22,1,拡連複,2-4,430,9
260228,22,1,拡連複,1-4,210,3
260228,22,1,拡連複,1-2,100,1
260228,22,1,３連単,4-2-1,49080,42
260228,22,1,３連複,1-2-4,520,3
260228,22,2,単勝,2,280,
260228,22,2,複勝,2,100,
260228,22,2,複勝,1,240,
260228,22,2,２連単,2-1,830,3
260228,22,2,２連複,1-2,420,1
260228,22,2,拡連複,1-2,160,2
260228,22,2,拡連複,2-4,150,1
260228,22,2,拡連複,1-4,180,3
260228,22,2,３連単,2-1-4,2470,8
260228,22,2,３連複,1-2-4,480,2
260228,22,3,単勝,4,1690,
260228,22,3,複勝,4,540,
260228,22,3,複勝,3,140,
260228,22,3,２連単,4-3,3200,11
260228,22,3,２連複,3-4,880,4
260228,22,3,拡連複,3-4,230,3
260228,22,3,拡連複,1-4,750,10
260228,22,3,拡連複,1-3,110,1
260228,22,3,３連単,4-3-1,8490,30
260228,22,3,３連複,1-3-4,650,4
260228,22,4,単勝,5,860,
260228,22,4,複勝,5,630,
260228,22,4,複勝,4,310,
260228,22,4,２連単,5-4,4430,17
260228,22,4,２連複,4-5,1730,8
260228,22,4,拡連複,4-5,780,9
260228,22,4,拡連複,2-5,320,4
260228,22,4,拡連複,2-4,280,3
260228,22,4,３連単,5-4-2,10180,39
260228,22,4,３連複,2-4-5,800,4
260228,22,5,単勝,3,1100,
260228,22,5,複勝,3,220,
260228,22,5,複勝,1,160,
260228,22,5,２連単,3-1,3380,16
260228,22,5,２連複,1-3,1150,6
260228,22,5,拡連複,1-3,560,9
260228,22,5,拡連複,3-4,350,6
260228,22,5,拡連複,1-4,160,1
260228,22,5,３連単,3-1-4,9610,42
260228,22,5,３連複,1-3-4,780,4
260228,22,6,単勝,1,130,
260228,22,6,複勝,1,100,
260228,22,6,複勝,2,160,
260228,22,6,２連単,1-2,240,1
260228,22,6,２連複,1-2,250,1
260228,22,6,拡連複,1-2,120,1
260228,22,6,拡連複,1-4,600,9
260228,22,6,拡連複,2-4,690,10
260228,22,6,３連単,1-2-4,2190,9
260228,22,6,３連複,1-2-4,940,3
260228,22,7,単勝,2,220,
260228,22,7,複勝,2,170,
260228,22,7,複勝,3,180,
260228,22,7,２連単,2-3,1150,4
260228,22,7,２連複,2-3,880,5
260228,22,7,拡連複,2-3,340,6
260228,22,7,拡連複,1-2,210,4
260228,22,7,拡連複,1-3,500,9
260228,22,7,３連単,2-3-1,3680,16
260228,22,7,３連複,1-2-3,610,2
260228,22,8,単勝,2,890,
260228,22,8,複勝,2,100,
260228,22,8,複勝,1,100,
260228,22,8,２連単,2-1,850,5
260228,22,8,２連複,1-2,120,1
260228,22,8,拡連複,1-2,110,1
260228,22,8,拡連複,2-3,220,5
260228,22,8,拡連複,1-3,210,4
260228,22,8,３連単,2-1-3,5450,16
260228,22,8,３連複,1-2-3,400,3
260228,22,9,単勝,1,160,
260228,22,9,複勝,1,120,
260228,22,9,複勝,4,200,
260228,22,9,２連単,1-4,1270,5
260228,22,9,２連複,1-4,960,4
260228,22,9,拡連複,1-4,190,3
260228,22,9,拡連複,1-2,140,1
260228,22,9,拡連複,2-4,270,5
260228,22,9,３連単,1-4-2,2030,6
260228,22,9,３連複,1-2-4,430,2
260228,22,10,単勝,1,160,
260228,22,10,複勝,1,100,
260228,22,10,複勝,2,170,
260228,22,10,２連単,1-2,170,1
260228,22,10,２連複,1-2,140,1
260228,22,10,拡連複,1-2,140,1
260228,22,10,拡連複,1-6,640,12
260228,22,10,拡連複,2-6,240,4
260228,22,10,３連単,1-2-6,1890,5
260228,22,10,３連複,1-2-6,800,3
260228,22,11,単勝,1,110,
260228,22,11,複勝,1,110,
260228,22,11,複勝,5,310,
260228,22,11,２連単,1-5,1130,5
260228,22,11,２連複,1-5,1410,4
260228,22,11,拡連複,1-5,200,3
260228,22,11,拡連複,1-2,140,1
260228,22,11,拡連複,2-5,610,11
260228,22,11,３連単,1-5-2,3100,10
260228,22,11,３連複,1-2-5,540,4
260228,22,12,単勝,1,120,
260228,22,12,複勝,1,100,
260228,22,12,複勝,3,200,
260228,22,12,２連単,1-3,440,2
260228,22,12,２連複,1-3,360,2
260228,22,12,拡連複,1-3,210,4
260228,22,12,拡連複,1-2,190,2
260228,22,12,拡連複,2-3,200,3
260228,22,12,３連単,1-3-2,650,2
260228,22,12,３連複,1-2-3,240,1
260228,19,1,単勝,1,150,
260228,19,1,複勝,1,100,
260228,19,1,複勝,2,160,
260228,19,1,２連単,1-2,770,3
260228,19,1,２連複,1-2,370,1
260228,19,1,拡連複,1-2,260,5
260228,19,1,拡連複,1-4,170,1
260228,19,1,拡連複,2-4,310,7
260228,19,1,３連単,1-2-4,1900,3
260228,19,1,３連複,1-2-4,600,2
260228,19,2,単勝,1,260,
260228,19,2,複勝,1,100,
260228,19,2,複勝,6,930,
260228,19,2,２連単,1-6,2380,9
260228,19,2,２連複,1-6,1150,7
260228,19,2,拡連複,1-6,620,10
260228,19,2,拡連複,1-5,450,5
260228,19,2,拡連複,5-6,1040,14
260228,19,2,３連単,1-6-5,11150,36
260228,19,2,３連複,1-5-6,2360,10
260228,19,3,単勝,3,750,
260228,19,3,複勝,3,220,
260228,19,3,複勝,1,100,
260228,19,3,２連単,3-1,1590,6
260228,19,3,２連複,1-3,440,2
260228,19,3,拡連複,1-3,130,2
260228,19,3,拡連複,3-5,140,3
260228,19,3,拡連複,1-5,120,1
260228,19,3,３連単,3-1-5,3310,9
260228,19,3,３連複,1-3-5,350,1
260228,19,4,単勝,3,260,
260228,19,4,複勝,3,200,
260228,19,4,複勝,2,230,
260228,19,4,２連単,3-2,840,4
260228,19,4,２連複,2-3,850,5
260228,19,4,拡連複,2-3,160,3
260228,19,4,拡連複,3-4,130,1
260228,19,4,拡連複,2-4,260,5
260228,19,4,３連単,3-2-4,1870,7
260228,19,4,３連複,2-3-4,460,3
260228,19,5,単勝,5,410,
260228,19,5,複勝,5,100,
260228,19,5,複勝,4,250,
260228,19,5,２連単,5-4,4530,13
260228,19,5,２連複,4-5,1350,7
260228,19,5,拡連複,4-5,500,8
260228,19,5,拡連複,1-5,110,1
260228,19,5,拡連複,1-4,340,6
260228,19,5,３連単,5-4-1,11020,34
260228,19,5,３連複,1-4-5,710,3
260228,19,6,単勝,5,250,
260228,19,6,複勝,5,180,
260228,19,6,複勝,1,180,
260228,19,6,２連単,5-1,760,2
260228,19,6,２連複,1-5,360,1
260228,19,6,拡連複,1-5,220,2
260228,19,6,拡連複,4-5,710,8
260228,19,6,拡連複,1-4,1460,13
260228,19,6,３連単,5-1-4,6000,26
260228,19,6,３連複,1-4-5,1840,7
260228,19,7,単勝,4,880,
260228,19,7,複勝,4,120,
260228,19,7,複勝,1,100,
260228,19,7,２連単,4-1,1690,7
260228,19,7,２連複,1-4,540,2
260228,19,7,拡連複,1-4,270,4
260228,19,7,拡連複,2-4,660,12
260228,19,7,拡連複,1-2,380,8
260228,19,7,３連単,4-1-2,10960,54
260228,19,7,３連複,1-2-4,1250,5
260228,19,8,単勝,1,110,
260228,19,8,複勝,1,110,
260228,19,8,複勝,5,180,
260228,19,8,２連単,1-5,380,2
260228,19,8,２連複,1-5,250,1
260228,19,8,拡連複,1-5,150,2
260228,19,8,拡連複,1-3,150,3
260228,19,8,拡連複,3-5,170,4
260228,19,8,３連単,1-5-3,780,2
260228,19,8,３連複,1-3-5,210,1
260228,19,9,単勝,4,650,
260228,19,9,複勝,4,150,
260228,19,9,複勝,1,110,
260228,19,9,２連単,4-1,1110,4
260228,19,9,２連複,1-4,320,1
260228,19,9,拡連複,1-4,120,1
260228,19,9,拡連複,3-4,230,4
260228,19,9,拡連複,1-3,150,2
260228,19,9,３連単,4-1-3,5070,21
260228,19,9,３連複,1-3-4,370,1
260228,19,10,単勝,1,110,
260228,19,10,複勝,1,100,
260228,19,10,複勝,2,190,
260228,19,10,２連単,1-2,260,2
260228,19,10,２連複,1-2,180,1
260228,19,10,拡連複,1-2,180,2
260228,19,10,拡連複,1-4,180,3
260228,19,10,拡連複,2-4,540,8
260228,19,10,３連単,1-2-4,1110,4
260228,19,10,３連複,1-2-4,620,3
260228,19,11,単勝,1,150,
260228,19,11,複勝,1,110,
260228,19,11,複勝,2,370,
260228,19,11,２連単,1-2,490,2
260228,19,11,２連複,1-2,550,2
260228,19,11,拡連複,1-2,170,2
260228,19,11,拡連複,1-3,100,1
260228,19,11,拡連複,2-3,340,7
260228,19,11,３連単,1-2-3,920,3
260228,19,11,３連複,1-2-3,260,1
