hd,jcd,rno,shiki,combo,payout,ninki
251231,24,1,単勝,1,110,
251231,24,1,複勝,1,100,
251231,24,1,複勝,3,230,
251231,24,1,２連単,1-3,350,2
251231,24,1,２連複,1-3,350,2
251231,24,1,拡連複,1-3,170,2
251231,24,1,拡連複,1-2,140,1
251231,24,1,拡連複,2-3,260,6
251231,24,1,３連単,1-3-2,950,3
251231,24,1,３連複,1-2-3,370,1
251231,24,2,単勝,1,140,
251231,24,2,複勝,1,100,
251231,24,2,複勝,2,170,
251231,24,2,２連単,1-2,330,1
251231,24,2,２連複,1-2,280,1
251231,24,2,拡連複,1-2,160,1
251231,24,2,拡連複,1-5,290,5
251231,24,2,拡連複,2-5,280,4
251231,24,2,３連単,1-2-5,1220,2
251231,24,2,３連複,1-2-5,660,3
251231,24,3,単勝,1,110,
251231,24,3,複勝,1,110,
251231,24,3,複勝,2,220,
251231,24,3,２連単,1-2,280,1
251231,24,3,２連複,1-2,230,1
251231,24,3,拡連複,1-2,150,1
251231,24,3,拡連複,1-5,190,4
251231,24,3,拡連複,2-5,270,5
251231,24,3,３連単,1-2-5,750,1
251231,24,3,３連複,1-2-5,290,1
251231,24,4,単勝,1,140,
251231,24,4,複勝,1,100,
251231,24,4,複勝,2,160,
251231,24,4,２連単,1-2,270,1
251231,24,4,２連複,1-2,220,1
251231,24,4,拡連複,1-2,130,1
251231,24,4,拡連複,1-3,140,2
251231,24,4,拡連複,2-3,230,5
251231,24,4,３連単,1-2-3,610,1
251231,24,4,３連複,1-2-3,260,1
251231,24,5,単勝,1,110,
251231,24,5,複勝,1,100,
251231,24,5,複勝,3,180,
251231,24,5,２連単,1-3,330,1
251231,24,5,２連複,1-3,260,1
251231,24,5,拡連複,1-3,110,1
251231,24,5,拡連複,1-4,130,3
251231,24,5,拡連複,1-5,140,4
251231,24,5,拡連複,3-4,150,5
251231,24,5,拡連複,3-5,290,10
251231,24,5,３連単,1-3-4,450,3
251231,24,5,３連単,1-3-5,750,6
251231,24,5,３連複,1-3-4,260,3
251231,24,5,３連複,1-3-5,440,4
251231,24,6,単勝,1,130,
251231,24,6,複勝,1,110,
251231,24,6,複勝,3,250,
251231,24,6,２連単,1-3,370,2
251231,24,6,２連複,1-3,320,2
251231,24,6,拡連複,1-3,170,1
251231,24,6,拡連複,1-6,380,7
251231,24,6,拡連複,3-6,820,12
251231,24,6,３連単,1-3-6,2100,8
251231,24,6,３連複,1-3-6,1400,5
251231,24,7,単勝,1,110,
251231,24,7,複勝,1,110,
251231,24,7,複勝,3,340,
251231,24,7,２連単,1-3,550,2
251231,24,7,２連複,1-3,520,3
251231,24,7,拡連複,1-3,280,4
251231,24,7,拡連複,1-6,470,7
251231,24,7,拡連複,3-6,1060,14
251231,24,7,３連単,1-3-6,4170,16
251231,24,7,３連複,1-3-6,2340,10
251231,24,8,単勝,1,130,
251231,24,8,複勝,1,100,
251231,24,8,複勝,2,110,
251231,24,8,２連単,1-2,250,1
251231,24,8,２連複,1-2,210,1
251231,24,8,拡連複,1-2,150,1
251231,24,8,拡連複,1-4,330,6
251231,24,8,拡連複,2-4,480,8
251231,24,8,３連単,1-2-4,1300,4
251231,24,8,３連複,1-2-4,630,2
251231,24,9,単勝,1,130,
251231,24,9,複勝,1,120,
251231,24,9,複勝,4,260,
251231,24,9,２連単,1-4,1300,5
251231,24,9,２連複,1-4,890,4
251231,24,9,拡連複,1-4,300,6
251231,24,9,拡連複,1-2,140,1
251231,24,9,拡連複,2-4,340,8
251231,24,9,３連単,1-4-2,3600,11
251231,24,9,３連複,1-2-4,730,3
251231,24,10,単勝,1,120,
251231,24,10,複勝,1,100,
251231,24,10,複勝,5,210,
251231,24,10,２連単,1-5,1100,5
251231,24,10,２連複,1-5,860,4
251231,24,10,拡連複,1-5,280,4
251231,24,10,拡連複,1-3,180,2
251231,24,10,拡連複,3-5,470,8
251231,24,10,３連単,1-5-3,3500,13
251231,24,10,３連複,1-3-5,960,5
251231,24,11,単勝,1,110,
251231,24,11,複勝,1,100,
251231,24,11,複勝,4,430,
251231,24,11,２連単,1-4,520,2
251231,24,11,２連複,1-4,470,2
251231,24,11,拡連複,1-4,190,2
251231,24,11,拡連複,1-5,250,4
251231,24,11,拡連複,4-5,650,11
251231,24,11,３連単,1-4-5,1970,7
251231,24,11,３連複,1-4-5,1130,5
251231,24,12,単勝,1,130,
251231,24,12,複勝,1,110,
251231,24,12,複勝,5,310,
251231,24,12,２連単,1-5,1050,5
251231,24,12,２連複,1-5,840,4
251231,24,12,拡連複,1-5,280,5
251231,24,12,拡連複,1-3,250,3
251231,24,12,拡連複,3-5,780,12
251231,24,12,３連単,1-5-3,5150,20
251231,24,12,３連複,1-3-5,1750,7
251231,23,1,単勝,1,100,
251231,23,1,複勝,1,100,
251231,23,1,複勝,3,260,
251231,23,1,２連単,1-3,470,2
251231,23,1,２連複,1-3,470,3
251231,23,1,拡連複,1-3,150,1
251231,23,1,拡連複,1-6,960,11
251231,23,1,拡連複,3-6,1800,14
251231,23,1,３連単,1-3-6,10390,28
251231,23,1,３連複,1-3-6,4510,14
251231,23,2,単勝,1,150,
251231,23,2,複勝,1,100,
251231,23,2,複勝,3,110,
251231,23,2,２連単,1-3,250,1
251231,23,2,２連複,1-3,190,1
251231,23,2,拡連複,1-3,110,1
251231,23,2,拡連複,1-2,150,2
251231,23,2,拡連複,2-3,220,3
251231,23,2,３連単,1-3-2,720,1
251231,23,2,３連複,1-2-3,220,1
251231,23,3,単勝,4,190,
251231,23,3,複勝,4,210,
251231,23,3,複勝,3,430,
251231,23,3,２連単,4-3,4410,10
251231,23,3,２連複,3-4,3540,7
251231,23,3,拡連複,3-4,330,6
251231,23,3,拡連複,1-4,110,1
251231,23,3,拡連複,1-3,230,4
251231,23,3,３連単,4-3-1,12860,30
251231,23,3,３連複,1-3-4,660,3
251231,23,4,単勝,5,460,
251231,23,4,複勝,5,390,
251231,23,4,複勝,6,300,
251231,23,4,２連単,5-6,1790,8
251231,23,4,２連複,5-6,820,5
251231,23,4,拡連複,5-6,250,4
251231,23,4,拡連複,1-5,230,3
251231,23,4,拡連複,1-6,410,7
251231,23,4,３連単,5-6-1,4770,19
251231,23,4,３連複,1-5-6,660,4
251231,23,5,単勝,5,600,
251231,23,5,複勝,5,100,
251231,23,5,複勝,6,100,
251231,23,5,２連単,5-6,970,5
251231,23,5,２連複,5-6,290,2
251231,23,5,拡連複,5-6,150,1
251231,23,5,拡連複,3-5,680,10
251231,23,5,拡連複,3-6,240,3
251231,23,5,３連単,5-6-3,4010,17
251231,23,5,３連複,3-5-6,670,2
251231,23,6,単勝,6,490,
251231,23,6,複勝,6,160,
251231,23,6,複勝,1,100,
251231,23,6,２連単,6-1,1150,7
251231,23,6,２連複,1-6,590,3
251231,23,6,拡連複,1-6,180,3
251231,23,6,拡連複,5-6,170,2
251231,23,6,拡連複,1-5,160,1
251231,23,6,３連単,6-1-5,2300,8
251231,23,6,３連複,1-5-6,310,1
251231,23,7,単勝,1,150,
251231,23,7,複勝,1,130,
251231,23,7,複勝,3,700,
251231,23,7,２連単,1-3,2160,7
251231,23,7,２連複,1-3,1660,6
251231,23,7,拡連複,1-3,340,6
251231,23,7,拡連複,1-2,180,2
251231,23,7,拡連複,2-3,500,8
251231,23,7,３連単,1-3-2,3220,12
251231,23,7,３連複,1-2-3,720,2
251231,23,8,単勝,1,110,
251231,23,8,複勝,1,140,
251231,23,8,複勝,6,140,
251231,23,8,２連単,1-6,360,1
251231,23,8,２連複,1-6,260,1
251231,23,8,拡連複,1-6,100,1
251231,23,8,拡連複,1-3,230,4
251231,23,8,拡連複,3-6,190,2
251231,23,8,３連単,1-6-3,1090,1
251231,23,8,３連複,1-3-6,350,1
251231,23,9,単勝,1,230,
251231,23,9,複勝,1,190,
251231,23,9,複勝,3,450,
251231,23,9,２連単,1-3,420,2
251231,23,9,２連複,1-3,430,2
251231,23,9,拡連複,1-3,220,2
251231,23,9,拡連複,1-4,230,4
251231,23,9,拡連複,3-4,490,9
251231,23,9,３連単,1-3-4,1550,6
251231,23,9,３連複,1-3-4,720,4
251231,23,10,単勝,1,150,
251231,23,10,複勝,1,120,
251231,23,10,複勝,4,290,
251231,23,10,２連単,1-4,860,4
251231,23,10,２連複,1-4,470,2
251231,23,10,拡連複,1-4,140,2
251231,23,10,拡連複,1-2,110,1
251231,23,10,拡連複,2-4,160,3
251231,23,10,３連単,1-4-2,1170,4
251231,23,10,３連複,1-2-4,190,1
251231,23,11,単勝,1,130,
251231,23,11,複勝,1,100,
251231,23,11,複勝,3,120,
251231,23,11,２連単,1-3,250,1
251231,23,11,２連複,1-3,220,1
251231,23,11,拡連複,1-3,120,2
251231,23,11,拡連複,1-2,110,1
251231,23,11,拡連複,2-3,160,4
251231,23,11,３連単,1-3-2,520,2
251231,23,11,３連複,1-2-3,200,1
251231,23,12,単勝,2,440,
251231,23,12,複勝,2,140,
251231,23,12,複勝,3,220,
251231,23,12,２連単,2-3,2850,7
251231,23,12,２連複,2-3,1740,5
251231,23,12,拡連複,2-3,290,3
251231,23,12,拡連複,2-4,960,9
251231,23,12,拡連複,3-4,730,8
251231,23,12,３連単,2-3-4,24120,30
251231,23,12,３連複,2-3-4,5650,10
251231,21,1,単勝,1,110,
251231,21,1,複勝,1,100,
251231,21,1,複勝,2,160,
