hd,jcd,rno,shiki,combo,payout,ninki
260430,24,1,単勝,4,450,
260430,24,1,複勝,4,210,
260430,24,1,複勝,2,210,
260430,24,1,２連単,4-2,1950,10
260430,24,1,２連複,2-4,1340,5
260430,24,1,拡連複,2-4,190,2
260430,24,1,拡連複,4-5,250,5
260430,24,1,拡連複,2-5,360,7
260430,24,1,３連単,4-2-5,6070,27
260430,24,1,３連複,2-4-5,1200,5
260430,24,2,単勝,2,240,
260430,24,2,複勝,2,170,
260430,24,2,複勝,6,220,
260430,24,2,２連単,2-6,3260,10
260430,24,2,２連複,2-6,3880,8
260430,24,2,拡連複,2-6,430,6
260430,24,2,拡連複,2-5,300,4
260430,24,2,拡連複,5-6,1470,14
260430,24,2,３連単,2-6-5,28890,51
260430,24,2,３連複,2-5-6,6850,15
260430,24,3,単勝,2,710,
260430,24,3,複勝,2,190,
260430,24,3,複勝,1,120,
260430,24,3,２連単,2-1,2380,9
260430,24,3,２連複,1-2,570,4
260430,24,3,拡連複,1-2,150,2
260430,24,3,拡連複,2-3,210,6
260430,24,3,拡連複,1-3,130,1
260430,24,3,３連単,2-1-3,5370,20
260430,24,3,３連複,1-2-3,360,2
260430,24,4,単勝,1,100,
260430,24,4,複勝,1,110,
260430,24,4,複勝,2,430,
260430,24,4,２連単,1-2,330,1
260430,24,4,２連複,1-2,300,1
260430,24,4,拡連複,1-2,180,2
260430,24,4,拡連複,1-4,200,3
260430,24,4,拡連複,2-4,510,8
260430,24,4,３連単,1-2-4,1200,3
260430,24,4,３連複,1-2-4,600,3
260430,24,5,単勝,5,380,
260430,24,5,複勝,5,300,
260430,24,5,複勝,2,520,
260430,24,5,２連単,5-2,5860,12
260430,24,5,２連複,2-5,5770,8
260430,24,5,拡連複,2-5,540,7
260430,24,5,拡連複,3-5,180,3
260430,24,5,拡連複,2-3,570,8
260430,24,5,３連単,5-2-3,37500,46
260430,24,5,３連複,2-3-5,5470,12
260430,24,6,単勝,4,3570,
260430,24,6,複勝,4,700,
260430,24,6,複勝,3,540,
260430,24,6,２連単,4-3,15380,20
260430,24,6,２連複,3-4,6270,11
260430,24,6,拡連複,3-4,420,7
260430,24,6,拡連複,1-4,250,4
260430,24,6,拡連複,1-3,200,2
260430,24,6,３連単,4-3-1,42760,66
260430,24,6,３連複,1-3-4,1500,5
260430,24,7,単勝,4,610,
260430,24,7,複勝,4,550,
260430,24,7,複勝,5,530,
260430,24,7,２連単,4-5,5790,13
260430,24,7,２連複,4-5,2190,6
260430,24,7,拡連複,4-5,330,7
260430,24,7,拡連複,1-4,160,3
260430,24,7,拡連複,1-5,130,1
260430,24,7,３連単,4-5-1,10850,28
260430,24,7,３連複,1-4-5,470,3
260430,24,8,単勝,1,140,
260430,24,8,複勝,1,120,
260430,24,8,複勝,2,150,
260430,24,8,２連単,1-2,430,1
260430,24,8,２連複,1-2,290,1
260430,24,8,拡連複,1-2,170,2
260430,24,8,拡連複,1-4,130,1
260430,24,8,拡連複,2-4,270,5
260430,24,8,３連単,1-2-4,1110,1
260430,24,8,３連複,1-2-4,340,1
260430,24,9,単勝,2,330,
260430,24,9,複勝,2,150,
260430,24,9,複勝,1,110,
260430,24,9,２連単,2-1,610,3
260430,24,9,２連複,1-2,180,1
260430,24,9,拡連複,1-2,110,1
260430,24,9,拡連複,2-3,140,2
260430,24,9,拡連複,1-3,160,3
260430,24,9,３連単,2-1-3,1260,4
260430,24,9,３連複,1-2-3,220,1
260430,24,10,単勝,2,270,
260430,24,10,複勝,2,120,
260430,24,10,複勝,3,180,
260430,24,10,２連単,2-3,550,1
260430,24,10,２連複,2-3,370,1
260430,24,10,拡連複,2-3,150,2
260430,24,10,拡連複,2-6,420,9
260430,24,10,拡連複,3-6,360,7
260430,24,10,３連単,2-3-6,2890,12
260430,24,10,３連複,2-3-6,1200,8
260430,24,11,単勝,4,1720,
260430,24,11,複勝,4,570,
260430,24,11,複勝,2,280,
260430,24,11,２連単,4-2,8360,14
260430,24,11,２連複,2-4,4200,11
260430,24,11,拡連複,2-4,510,6
260430,24,11,拡連複,4-6,2070,14
260430,24,11,拡連複,2-6,1680,13
260430,24,11,３連単,4-2-6,43790,60
260430,24,11,３連複,2-4-6,15440,18
260430,24,12,単勝,1,200,
260430,24,12,複勝,1,160,
260430,24,12,複勝,2,300,
260430,24,12,２連単,1-2,580,3
260430,24,12,２連複,1-2,360,2
260430,24,12,拡連複,1-2,250,3
260430,24,12,拡連複,1-6,290,5
260430,24,12,拡連複,2-6,410,8
260430,24,12,３連単,1-2-6,2190,8
260430,24,12,３連複,1-2-6,980,6
260430,22,1,単勝,3,220,
260430,22,1,複勝,3,100,
260430,22,1,複勝,2,170,
260430,22,1,２連単,3-2,850,4
260430,22,1,２連複,2-3,610,3
260430,22,1,拡連複,2-3,170,2
260430,22,1,拡連複,1-3,120,1
260430,22,1,拡連複,1-2,200,4
260430,22,1,３連単,3-2-1,1870,7
260430,22,1,３連複,1-2-3,290,1
260430,22,2,単勝,2,630,
260430,22,2,複勝,2,230,
260430,22,2,複勝,1,160,
260430,22,2,２連単,2-1,760,2
260430,22,2,２連複,1-2,260,1
260430,22,2,拡連複,1-2,220,3
260430,22,2,拡連複,2-5,500,8
260430,22,2,拡連複,1-5,340,6
260430,22,2,３連単,2-1-5,2370,6
260430,22,2,３連複,1-2-5,700,3
260430,22,3,単勝,3,900,
260430,22,3,複勝,3,490,
260430,22,3,複勝,5,250,
260430,22,3,２連単,3-5,5690,13
260430,22,3,２連複,3-5,1620,6
260430,22,3,拡連複,3-5,480,7
260430,22,3,拡連複,2-3,370,5
260430,22,3,拡連複,2-5,230,4
260430,22,3,３連単,3-5-2,9970,32
260430,22,3,３連複,2-3-5,1050,5
260430,22,4,単勝,1,130,
260430,22,4,複勝,1,150,
260430,22,4,複勝,2,320,
260430,22,4,２連単,1-2,590,2
260430,22,4,２連複,1-2,450,2
260430,22,4,拡連複,1-2,180,3
260430,22,4,拡連複,1-6,150,1
260430,22,4,拡連複,2-6,430,10
260430,22,4,３連単,1-2-6,1400,4
260430,22,4,３連複,1-2-6,500,3
260430,22,5,単勝,4,370,
260430,22,5,複勝,4,460,
260430,22,5,複勝,1,100,
260430,22,5,２連単,4-1,1310,5
260430,22,5,２連複,1-4,380,2
260430,22,5,拡連複,1-4,150,2
260430,22,5,拡連複,2-4,190,3
260430,22,5,拡連複,1-2,110,1
260430,22,5,３連単,4-1-2,2170,8
260430,22,5,３連複,1-2-4,260,1
260430,22,6,単勝,6,390,
260430,22,6,複勝,6,180,
260430,22,6,複勝,3,160,
260430,22,6,２連単,6-3,730,3
260430,22,6,２連複,3-6,490,3
