hd,jcd,rno,shiki,combo,payout,ninki
260630,24,1,単勝,4,350,
260630,24,1,複勝,4,150,
260630,24,1,複勝,1,100,
260630,24,1,２連単,4-1,1680,7
260630,24,1,２連複,1-4,400,3
260630,24,1,拡連複,1-4,200,2
260630,24,1,拡連複,2-4,390,8
260630,24,1,拡連複,1-2,220,3
260630,24,1,３連単,4-1-2,6980,23
260630,24,1,３連複,1-2-4,600,4
260630,24,2,単勝,5,580,
260630,24,2,複勝,5,140,
260630,24,2,複勝,1,100,
260630,24,2,２連単,5-1,2540,9
260630,24,2,２連複,1-5,440,3
260630,24,2,拡連複,1-5,160,3
260630,24,2,拡連複,4-5,150,2
260630,24,2,拡連複,1-4,180,4
260630,24,2,３連単,5-1-4,5160,19
260630,24,2,３連複,1-4-5,400,1
260630,24,3,単勝,1,110,
260630,24,3,複勝,1,100,
260630,24,3,複勝,3,160,
260630,24,3,２連単,1-3,470,2
260630,24,3,２連複,1-3,380,2
260630,24,3,拡連複,1-3,250,5
260630,24,3,拡連複,1-4,110,1
260630,24,3,拡連複,3-4,170,2
260630,24,3,３連単,1-3-4,870,2
260630,24,3,３連複,1-3-4,220,1
260630,24,4,単勝,1,170,
260630,24,4,複勝,1,140,
260630,24,4,複勝,4,120,
260630,24,4,２連単,1-4,500,2
260630,24,4,２連複,1-4,490,2
260630,24,4,拡連複,1-4,150,1
260630,24,4,拡連複,1-3,210,4
260630,24,4,拡連複,3-4,360,6
260630,24,4,３連単,1-4-3,2320,8
260630,24,4,３連複,1-3-4,1100,5
260630,24,5,単勝,1,110,
260630,24,5,複勝,1,100,
260630,24,5,複勝,6,140,
260630,24,5,２連単,1-6,490,3
260630,24,5,２連複,1-6,240,1
260630,24,5,拡連複,1-6,130,1
260630,24,5,拡連複,1-3,130,2
260630,24,5,拡連複,3-6,150,4
260630,24,5,３連単,1-6-3,750,2
260630,24,5,３連複,1-3-6,220,1
260630,24,6,単勝,1,190,
260630,24,6,複勝,1,130,
260630,24,6,複勝,2,500,
260630,24,6,２連単,1-2,660,2
260630,24,6,２連複,1-2,590,2
260630,24,6,拡連複,1-2,270,3
260630,24,6,拡連複,1-4,410,6
260630,24,6,拡連複,2-4,930,12
260630,24,6,３連単,1-2-4,5450,21
260630,24,6,３連複,1-2-4,4030,13
260630,24,7,単勝,1,100,
260630,24,7,複勝,1,100,
260630,24,7,複勝,2,200,
260630,24,7,２連単,1-2,620,3
260630,24,7,２連複,1-2,330,3
260630,24,7,拡連複,1-2,270,4
260630,24,7,拡連複,1-5,410,7
260630,24,7,拡連複,2-5,870,10
260630,24,7,３連単,1-2-5,3460,12
260630,24,7,３連複,1-2-5,2090,6
260630,24,8,単勝,1,140,
260630,24,8,複勝,1,110,
260630,24,8,複勝,2,170,
260630,24,8,２連単,1-2,310,1
260630,24,8,２連複,1-2,230,1
260630,24,8,拡連複,1-2,150,1
260630,24,8,拡連複,1-6,1360,11
260630,24,8,拡連複,2-6,1490,13
260630,24,8,３連単,1-2-6,4230,12
260630,24,8,３連複,1-2-6,2580,8
260630,24,9,単勝,1,100,
260630,24,9,複勝,1,330,
260630,24,9,複勝,2,2080,
260630,24,9,２連単,1-2,330,2
260630,24,9,２連複,1-2,310,2
260630,24,9,拡連複,1-2,140,2
260630,24,9,拡連複,1-3,110,1
260630,24,9,拡連複,2-3,310,6
260630,24,9,３連単,1-2-3,530,3
260630,24,9,３連複,1-2-3,240,1
260630,24,10,単勝,1,130,
260630,24,10,複勝,1,100,
260630,24,10,複勝,2,180,
260630,24,10,２連単,1-2,240,1
