hd,jcd,rno,shiki,combo,payout,ninki
251031,24,1,単勝,3,170,
251031,24,1,複勝,3,100,
251031,24,1,複勝,1,100,
251031,24,1,２連単,3-1,410,2
251031,24,1,２連複,1-3,180,1
251031,24,1,拡連複,1-3,130,1
251031,24,1,拡連複,3-5,350,6
251031,24,1,拡連複,1-5,460,8
251031,24,1,３連単,3-1-5,1530,7
251031,24,1,３連複,1-3-5,680,3
251031,24,2,単勝,1,160,
251031,24,2,複勝,1,130,
251031,24,2,２連単,1-5,3740,12
251031,24,2,２連複,1-5,3080,8
251031,24,2,拡連複,1-5,510,9
251031,24,2,拡連複,1-6,430,6
251031,24,2,拡連複,5-6,1380,13
251031,24,2,３連単,1-5-6,19080,48
251031,24,2,３連複,1-5-6,5210,13
251031,24,3,単勝,2,800,
251031,24,3,複勝,2,280,
251031,24,3,複勝,3,210,
251031,24,3,２連単,2-3,2930,12
251031,24,3,２連複,2-3,1380,7
251031,24,3,拡連複,2-3,460,10
251031,24,3,拡連複,1-2,250,4
251031,24,3,拡連複,1-3,130,1
251031,24,3,３連単,2-3-1,8670,32
251031,24,3,３連複,1-2-3,440,1
251031,24,4,単勝,1,100,
251031,24,4,複勝,1,120,
251031,24,4,複勝,2,220,
251031,24,4,２連単,1-2,550,2
251031,24,4,２連複,1-2,350,2
251031,24,4,拡連複,1-2,280,3
251031,24,4,拡連複,1-5,320,5
251031,24,4,拡連複,2-5,1810,15
251031,24,4,３連単,1-2-5,2930,11
251031,24,4,３連複,1-2-5,1640,8
251031,24,5,単勝,1,120,
251031,24,5,複勝,1,120,
251031,24,5,複勝,3,190,
251031,24,5,２連単,1-3,150,1
251031,24,5,２連複,1-3,180,1
251031,24,5,拡連複,1-3,120,1
251031,24,5,拡連複,1-2,170,3
251031,24,5,拡連複,2-3,330,7
251031,24,5,３連単,1-3-2,560,2
251031,24,5,３連複,1-2-3,300,2
251031,24,6,単勝,6,6770,
251031,24,6,複勝,6,360,
251031,24,6,複勝,5,270,
251031,24,6,２連単,6-5,14390,19
251031,24,6,２連複,5-6,2190,7
251031,24,6,拡連複,5-6,370,7
251031,24,6,拡連複,1-6,470,9
251031,24,6,拡連複,1-5,130,1
251031,24,6,３連単,6-5-1,33220,55
251031,24,6,３連複,1-5-6,970,4
251031,24,7,単勝,1,130,
251031,24,7,複勝,1,100,
251031,24,7,複勝,3,110,
251031,24,7,２連単,1-3,230,1
251031,24,7,２連複,1-3,170,1
251031,24,7,拡連複,1-3,120,1
251031,24,7,拡連複,1-2,190,4
251031,24,7,拡連複,2-3,250,5
251031,24,7,３連単,1-3-2,590,2
251031,24,7,３連複,1-2-3,310,2
251031,24,8,単勝,1,130,
251031,24,8,複勝,1,150,
251031,24,8,複勝,4,400,
251031,24,8,２連単,1-4,360,2
251031,24,8,２連複,1-4,380,3
251031,24,8,拡連複,1-4,130,1
251031,24,8,拡連複,1-3,200,3
251031,24,8,拡連複,3-4,280,5
251031,24,8,３連単,1-4-3,1280,5
251031,24,8,３連複,1-3-4,460,3
251031,24,9,単勝,1,120,
251031,24,9,複勝,1,100,
251031,24,9,複勝,3,130,
251031,24,9,２連単,1-3,230,1
251031,24,9,２連複,1-3,230,1
251031,24,9,拡連複,1-3,100,1
251031,24,9,拡連複,1-4,220,3
251031,24,9,拡連複,3-4,270,4
251031,24,9,３連単,1-3-4,660,1
251031,24,9,３連複,1-3-4,420,2
251031,24,10,単勝,1,130,
251031,24,10,複勝,1,110,
251031,24,10,複勝,2,210,
251031,24,10,２連単,1-2,630,3
251031,24,10,２連複,1-2,470,3
251031,24,10,拡連複,1-2,260,4
251031,24,10,拡連複,1-5,230,3
251031,24,10,拡連複,2-5,640,9
251031,24,10,３連単,1-2-5,2010,10
251031,24,10,３連複,1-2-5,810,5
251031,24,11,単勝,1,160,
251031,24,11,複勝,1,160,
251031,24,11,複勝,2,400,
251031,24,11,２連単,1-2,680,4
251031,24,11,２連複,1-2,390,2
251031,24,11,拡連複,1-2,220,4
251031,24,11,拡連複,1-3,140,1
251031,24,11,拡連複,2-3,290,5
251031,24,11,３連単,1-2-3,1460,5
251031,24,11,３連複,1-2-3,510,2
251031,24,12,単勝,1,170,
251031,24,12,複勝,1,120,
251031,24,12,複勝,2,290,
251031,24,12,２連単,1-2,410,1
251031,24,12,２連複,1-2,320,1
251031,24,12,拡連複,1-2,190,2
251031,24,12,拡連複,1-5,410,7
251031,24,12,拡連複,2-5,540,9
251031,24,12,３連単,1-2-5,3110,12
251031,24,12,３連複,1-2-5,1670,9
251031,22,1,単勝,1,110,
251031,22,1,複勝,1,100,
251031,22,1,複勝,3,190,
251031,22,1,２連単,1-3,480,3
251031,22,1,２連複,1-3,390,3
251031,22,1,拡連複,1-3,230,5
251031,22,1,拡連複,1-4,120,1
251031,22,1,拡連複,3-4,470,7
251031,22,1,３連単,1-3-4,970,4
251031,22,1,３連複,1-3-4,420,2
251031,22,2,単勝,3,620,
251031,22,2,複勝,3,210,
251031,22,2,複勝,2,150,
251031,22,2,２連単,3-2,1350,6
251031,22,2,２連複,2-3,460,3
251031,22,2,拡連複,2-3,200,3
251031,22,2,拡連複,3-4,210,5
251031,22,2,拡連複,2-4,160,1
251031,22,2,３連単,3-2-4,3400,12
251031,22,2,３連複,2-3-4,440,1
251031,22,3,単勝,1,300,
251031,22,3,複勝,1,100,
251031,22,3,複勝,5,410,
251031,22,3,２連単,1-5,2960,10
251031,22,3,２連複,1-5,1280,7
251031,22,3,拡連複,1-5,410,7
251031,22,3,拡連複,1-2,180,3
251031,22,3,拡連複,2-5,620,9
251031,22,3,３連単,1-5-2,9730,35
251031,22,3,３連複,1-2-5,2590,9
251031,22,4,単勝,1,150,
251031,22,4,複勝,1,170,
251031,22,4,複勝,3,490,
251031,22,4,２連単,1-3,400,1
251031,22,4,２連複,1-3,370,2
251031,22,4,拡連複,1-3,210,4
251031,22,4,拡連複,1-2,270,5
251031,22,4,拡連複,2-3,410,6
251031,22,4,３連単,1-3-2,1610,6
251031,22,4,３連複,1-2-3,560,3
251031,22,5,単勝,4,360,
251031,22,5,複勝,4,100,
251031,22,5,複勝,2,100,
251031,22,5,２連単,4-2,960,5
251031,22,5,２連複,2-4,490,3
251031,22,5,拡連複,2-4,170,1
251031,22,5,拡連複,4-5,390,8
251031,22,5,拡連複,2-5,360,7
251031,22,5,３連単,4-2-5,2300,6
251031,22,5,３連複,2-4-5,600,3
251031,22,6,単勝,3,200,
251031,22,6,複勝,3,120,
251031,22,6,複勝,4,130,
251031,22,6,２連単,3-4,450,1
251031,22,6,２連複,3-4,400,2
251031,22,6,拡連複,3-4,230,3
251031,22,6,拡連複,1-3,300,4
251031,22,6,拡連複,1-4,330,7
251031,22,6,３連単,3-4-1,2560,9
251031,22,6,３連複,1-3-4,650,4
251031,22,7,単勝,1,150,
251031,22,7,複勝,1,110,
251031,22,7,複勝,2,100,
251031,22,7,２連単,1-2,280,1
251031,22,7,２連複,1-2,170,1
251031,22,7,拡連複,1-2,100,1
251031,22,7,拡連複,1-4,180,3
251031,22,7,拡連複,2-4,270,5
251031,22,7,３連単,1-2-4,500,1
251031,22,7,３連複,1-2-4,220,1
251031,22,8,単勝,3,440,
251031,22,8,複勝,3,120,
251031,22,8,複勝,1,110,
251031,22,8,２連単,3-1,440,3
251031,22,8,２連複,1-3,160,1
251031,22,8,拡連複,1-3,150,2
251031,22,8,拡連複,2-3,190,4
251031,22,8,拡連複,1-2,170,3
251031,22,8,３連単,3-1-2,1250,4
251031,22,8,３連複,1-2-3,160,1
251031,22,9,単勝,1,110,
251031,22,9,複勝,1,100,
251031,22,9,複勝,2,100,
251031,22,9,２連単,1-2,210,1
251031,22,9,２連複,1-2,160,1
