hd,jcd,rno,shiki,combo,payout,ninki
260531,23,1,単勝,1,110,
260531,23,1,複勝,1,100,
260531,23,1,複勝,3,250,
260531,23,1,２連単,1-3,830,4
260531,23,1,２連複,1-3,1130,4
260531,23,1,拡連複,1-3,320,5
260531,23,1,拡連複,1-4,130,1
260531,23,1,拡連複,3-4,870,14
260531,23,1,３連単,1-3-4,2640,11
260531,23,1,３連複,1-3-4,1730,9
260531,23,2,単勝,2,960,
260531,23,2,複勝,2,200,
260531,23,2,複勝,3,140,
260531,23,2,２連単,2-3,5170,11
260531,23,2,２連複,2-3,2020,5
260531,23,2,拡連複,2-3,320,7
260531,23,2,拡連複,1-2,160,2
260531,23,2,拡連複,1-3,100,1
260531,23,2,３連単,2-3-1,11400,24
260531,23,2,３連複,1-2-3,220,1
260531,23,3,単勝,1,150,
260531,23,3,複勝,1,100,
260531,23,3,複勝,3,100,
260531,23,3,２連単,1-3,270,1
260531,23,3,２連複,1-3,170,1
260531,23,3,拡連複,1-3,100,1
260531,23,3,拡連複,1-2,150,2
260531,23,3,拡連複,2-3,190,5
260531,23,3,３連単,1-3-2,630,1
260531,23,3,３連複,1-2-3,240,2
260531,23,4,単勝,2,470,
260531,23,4,複勝,2,120,
260531,23,4,複勝,4,130,
260531,23,4,２連単,2-4,1310,7
260531,23,4,２連複,2-4,550,3
260531,23,4,拡連複,2-4,160,2
260531,23,4,拡連複,2-3,250,6
260531,23,4,拡連複,3-4,230,4
260531,23,4,３連単,2-4-3,3460,15
260531,23,4,３連複,2-3-4,750,3
260531,23,5,単勝,1,170,
260531,23,5,複勝,1,100,
260531,23,5,複勝,3,150,
260531,23,5,２連単,1-3,320,1
260531,23,5,２連複,1-3,330,1
260531,23,5,拡連複,1-3,120,2
260531,23,5,拡連複,1-2,110,1
260531,23,5,拡連複,2-3,180,4
260531,23,5,３連単,1-3-2,770,2
260531,23,5,３連複,1-2-3,170,1
260531,23,6,単勝,2,150,
260531,23,6,複勝,2,100,
260531,23,6,複勝,3,280,
260531,23,6,２連単,2-3,450,3
260531,23,6,２連複,2-3,350,2
260531,23,6,拡連複,2-3,170,3
260531,23,6,拡連複,1-2,150,2
260531,23,6,拡連複,1-3,450,7
260531,23,6,３連単,2-3-1,2140,7
260531,23,6,３連複,1-2-3,720,3
260531,23,7,単勝,1,130,
260531,23,7,複勝,1,150,
260531,23,7,複勝,3,140,
260531,23,7,２連単,1-3,1070,4
260531,23,7,２連複,1-3,820,4
260531,23,7,拡連複,1-3,190,2
260531,23,7,拡連複,1-5,190,3
260531,23,7,拡連複,3-5,390,7
260531,23,7,３連単,1-3-5,2720,9
260531,23,7,３連複,1-3-5,1140,5
260531,23,8,単勝,2,920,
260531,23,8,複勝,2,180,
260531,23,8,複勝,4,110,
260531,23,8,２連単,2-4,1200,6
260531,23,8,２連複,2-4,680,3
260531,23,8,拡連複,2-4,260,3
260531,23,8,拡連複,2-3,770,10
260531,23,8,拡連複,3-4,330,5
260531,23,8,３連単,2-4-3,6340,29
260531,23,8,３連複,2-3-4,1360,7
260531,23,9,単勝,1,240,
260531,23,9,複勝,1,210,
260531,23,9,複勝,4,370,
260531,23,9,２連単,1-4,2010,7
260531,23,9,２連複,1-4,2000,6
260531,23,9,拡連複,1-4,270,3
260531,23,9,拡連複,1-2,160,2
260531,23,9,拡連複,2-4,300,6
260531,23,9,３連単,1-4-2,5600,23
260531,23,9,３連複,1-2-4,640,3
260531,23,10,単勝,1,100,
260531,23,10,複勝,1,140,
260531,23,10,複勝,3,250,
260531,23,10,２連単,1-3,300,1
260531,23,10,２連複,1-3,300,2
260531,23,10,拡連複,1-3,180,2
260531,23,10,拡連複,1-5,750,6
260531,23,10,拡連複,3-5,1000,8
260531,23,10,３連単,1-3-5,1960,7
260531,23,10,３連複,1-3-5,1330,5
260531,23,11,単勝,1,190,
260531,23,11,複勝,1,110,
260531,23,11,複勝,3,100,
260531,23,11,２連単,1-3,170,1
260531,23,11,２連複,1-3,180,1
260531,23,11,拡連複,1-3,110,1
260531,23,11,拡連複,1-2,250,5
260531,23,11,拡連複,2-3,220,3
260531,23,11,３連単,1-3-2,680,1
260531,23,11,３連複,1-2-3,290,1
260531,23,12,単勝,1,120,
260531,23,12,複勝,1,100,
260531,23,12,複勝,3,170,
260531,23,12,２連単,1-3,350,2
260531,23,12,２連複,1-3,620,2
260531,23,12,拡連複,1-3,190,3
260531,23,12,拡連複,1-6,1070,9
260531,23,12,拡連複,3-6,2660,15
260531,23,12,３連単,1-3-6,5170,17
260531,23,12,３連複,1-3-6,3960,10
260531,20,1,単勝,2,750,
260531,20,1,複勝,2,200,
260531,20,1,複勝,1,110,
260531,20,1,２連単,2-1,880,5
260531,20,1,２連複,1-2,360,2
260531,20,1,拡連複,1-2,140,2
260531,20,1,拡連複,2-3,160,3
260531,20,1,拡連複,1-3,110,1
260531,20,1,３連単,2-1-3,1700,6
260531,20,1,３連複,1-2-3,210,1
260531,20,2,単勝,1,220,
260531,20,2,複勝,1,100,
260531,20,2,複勝,3,100,
260531,20,2,２連単,1-3,210,1
260531,20,2,２連複,1-3,200,1
260531,20,2,拡連複,1-3,110,1
260531,20,2,拡連複,1-2,420,8
260531,20,2,拡連複,2-3,420,8
260531,20,2,３連単,1-3-2,870,2
260531,20,2,３連複,1-2-3,410,2
260531,20,3,単勝,2,140,
