hd,jcd,rno,shiki,combo,payout,ninki
250731,24,1,単勝,1,190,
250731,24,1,複勝,1,100,
250731,24,1,複勝,2,160,
250731,24,1,２連単,1-2,570,2
250731,24,1,２連複,1-2,350,2
250731,24,1,拡連複,1-2,240,4
250731,24,1,拡連複,1-5,190,3
250731,24,1,拡連複,2-5,290,6
250731,24,1,３連単,1-2-5,1660,5
250731,24,1,３連複,1-2-5,530,3
250731,24,2,単勝,3,410,
250731,24,2,複勝,3,130,
250731,24,2,複勝,2,100,
250731,24,2,２連単,3-2,820,3
250731,24,2,２連複,2-3,230,1
250731,24,2,拡連複,2-3,130,1
250731,24,2,拡連複,3-5,290,6
250731,24,2,拡連複,2-5,140,2
250731,24,2,３連単,3-2-5,1800,5
250731,24,2,３連複,2-3-5,300,1
250731,24,3,単勝,1,250,
250731,24,3,複勝,1,160,
250731,24,3,複勝,2,150,
250731,24,3,２連単,1-2,450,1
250731,24,3,２連複,1-2,260,1
250731,24,3,拡連複,1-2,170,3
250731,24,3,拡連複,1-4,160,2
250731,24,3,拡連複,2-4,130,1
250731,24,3,３連単,1-2-4,1010,2
250731,24,3,３連複,1-2-4,220,1
250731,24,4,単勝,4,270,
250731,24,4,複勝,4,170,
250731,24,4,複勝,5,320,
250731,24,4,２連単,4-5,850,3
250731,24,4,２連複,4-5,470,2
250731,24,4,拡連複,4-5,190,2
250731,24,4,拡連複,1-4,150,1
250731,24,4,拡連複,1-5,250,6
250731,24,4,３連単,4-5-1,2250,7
250731,24,4,３連複,1-4-5,460,1
250731,24,5,単勝,1,150,
250731,24,5,複勝,1,100,
250731,24,5,複勝,3,100,
250731,24,5,２連単,1-3,320,1
250731,24,5,２連複,1-3,180,1
250731,24,5,拡連複,1-3,110,1
250731,24,5,拡連複,1-2,160,2
250731,24,5,拡連複,2-3,170,3
250731,24,5,３連単,1-3-2,480,1
250731,24,5,３連複,1-2-3,170,1
250731,24,6,単勝,1,450,
250731,24,6,複勝,1,140,
250731,24,6,複勝,2,180,
250731,24,6,２連単,1-2,490,1
250731,24,6,２連複,1-2,460,2
250731,24,6,拡連複,1-2,170,2
250731,24,6,拡連複,1-3,200,3
250731,24,6,拡連複,2-3,130,1
250731,24,6,３連単,1-2-3,910,1
250731,24,6,３連複,1-2-3,340,1
250731,24,7,単勝,2,170,
250731,24,7,複勝,2,140,
250731,24,7,複勝,3,470,
250731,24,7,２連単,2-3,720,4
250731,24,7,２連複,2-3,850,3
250731,24,7,拡連複,2-3,290,5
250731,24,7,拡連複,1-2,140,2
250731,24,7,拡連複,1-3,420,7
250731,24,7,３連単,2-3-1,3290,12
250731,24,7,３連複,1-2-3,370,2
250731,24,8,単勝,2,220,
250731,24,8,複勝,2,110,
250731,24,8,複勝,1,160,
250731,24,8,２連単,2-1,890,3
250731,24,8,２連複,1-2,450,1
250731,24,8,拡連複,1-2,240,3
250731,24,8,拡連複,2-6,470,9
250731,24,8,拡連複,1-6,650,10
250731,24,8,３連単,2-1-6,3850,20
250731,24,8,３連複,1-2-6,1010,7
250731,24,9,単勝,1,120,
250731,24,9,複勝,1,110,
250731,24,9,複勝,3,230,
250731,24,9,２連単,1-3,260,1
250731,24,9,２連複,1-3,190,1
250731,24,9,拡連複,1-3,110,1
250731,24,9,拡連複,1-4,130,2
250731,24,9,拡連複,3-4,270,5
250731,24,9,３連単,1-3-4,750,2
250731,24,9,３連複,1-3-4,460,2
250731,24,10,単勝,1,100,
250731,24,10,複勝,1,120,
250731,24,10,複勝,4,500,
250731,24,10,２連単,1-4,3580,11
250731,24,10,２連複,1-4,1920,7
250731,24,10,拡連複,1-4,720,10
250731,24,10,拡連複,1-3,220,3
250731,24,10,拡連複,3-4,780,11
250731,24,10,３連単,1-4-3,9690,30
250731,24,10,３連複,1-3-4,2210,9
250731,24,11,単勝,1,100,
250731,24,11,複勝,1,100,
250731,24,11,複勝,5,220,
