hd,jcd,rno,shiki,combo,payout,ninki
250930,24,1,単勝,1,120,
250930,24,1,複勝,1,100,
250930,24,1,複勝,3,160,
250930,24,1,２連単,1-3,250,1
250930,24,1,２連複,1-3,250,1
250930,24,1,拡連複,1-3,130,2
250930,24,1,拡連複,1-2,110,1
250930,24,1,拡連複,2-3,160,3
250930,24,1,３連単,1-3-2,620,2
250930,24,1,３連複,1-2-3,200,1
250930,24,2,単勝,3,240,
250930,24,2,複勝,3,140,
250930,24,2,複勝,4,230,
250930,24,2,２連単,3-4,710,3
250930,24,2,２連複,3-4,500,3
250930,24,2,拡連複,3-4,210,4
250930,24,2,拡連複,1-3,180,2
250930,24,2,拡連複,1-4,260,6
250930,24,2,３連単,3-4-1,2890,14
250930,24,2,３連複,1-3-4,630,3
250930,24,3,単勝,3,120,
250930,24,3,複勝,3,100,
250930,24,3,複勝,5,280,
250930,24,3,２連単,3-5,360,2
250930,24,3,２連複,3-5,490,2
250930,24,3,拡連複,3-5,190,2
250930,24,3,拡連複,2-3,400,6
250930,24,3,拡連複,2-5,1610,13
250930,24,3,３連単,3-5-2,5500,20
250930,24,3,３連複,2-3-5,2030,7
250930,24,4,単勝,3,340,
250930,24,4,複勝,3,630,
250930,24,4,複勝,5,1010,
250930,24,4,２連単,3-5,21390,25
250930,24,4,２連複,3-5,8980,12
250930,24,4,拡連複,3-5,1880,13
250930,24,4,拡連複,3-4,200,2
250930,24,4,拡連複,4-5,1310,11
250930,24,4,３連単,3-5-4,70430,85
250930,24,4,３連複,3-4-5,6260,15
250930,24,5,単勝,2,1160,
250930,24,5,複勝,2,340,
250930,24,5,複勝,1,280,
250930,24,5,２連単,2-1,3620,11
250930,24,5,２連複,1-2,1420,6
250930,24,5,拡連複,1-2,890,10
250930,24,5,拡連複,2-5,670,7
250930,24,5,拡連複,1-5,600,6
250930,24,5,３連単,2-1-5,18970,47
250930,24,5,３連複,1-2-5,3380,11
250930,24,6,単勝,6,1710,
250930,24,6,複勝,6,290,
250930,24,6,複勝,2,100,
250930,24,6,２連単,6-2,7900,18
250930,24,6,２連複,2-6,330,2
250930,24,6,拡連複,2-6,230,3
250930,24,6,拡連複,5-6,1220,14
250930,24,6,拡連複,2-5,410,5
250930,24,6,３連単,6-2-5,51610,76
250930,24,6,３連複,2-5-6,1750,8
250930,24,7,単勝,1,150,
250930,24,7,複勝,1,100,
250930,24,7,複勝,3,140,
250930,24,7,２連単,1-3,270,1
250930,24,7,２連複,1-3,210,1
250930,24,7,拡連複,1-3,140,2
250930,24,7,拡連複,1-2,180,3
250930,24,7,拡連複,2-3,250,5
250930,24,7,３連単,1-3-2,680,2
250930,24,7,３連複,1-2-3,270,1
250930,24,8,単勝,2,400,
250930,24,8,複勝,2,130,
250930,24,8,複勝,3,120,
250930,24,8,２連単,2-3,850,6
250930,24,8,２連複,2-3,420,3
250930,24,8,拡連複,2-3,140,1
250930,24,8,拡連複,2-5,500,9
250930,24,8,拡連複,3-5,440,5
250930,24,8,３連単,2-3-5,3820,13
250930,24,8,３連複,2-3-5,1580,6
250930,24,9,単勝,1,140,
250930,24,9,複勝,1,130,
250930,24,9,複勝,3,130,
250930,24,9,２連単,1-3,370,1
250930,24,9,２連複,1-3,180,1
250930,24,9,拡連複,1-3,170,1
250930,24,9,拡連複,1-5,1150,12
250930,24,9,拡連複,3-5,610,9
250930,24,9,３連単,1-3-5,4680,19
250930,24,9,３連複,1-3-5,1790,8
250930,24,10,単勝,1,120,
250930,24,10,複勝,1,100,
250930,24,10,複勝,2,240,
250930,24,10,２連単,1-2,310,2
250930,24,10,２連複,1-2,430,2
250930,24,10,拡連複,1-2,130,2
250930,24,10,拡連複,1-3,110,1
250930,24,10,拡連複,2-3,180,4
250930,24,10,３連単,1-2-3,500,2
250930,24,10,３連複,1-2-3,190,1
250930,24,11,単勝,1,110,
250930,24,11,複勝,1,100,
250930,24,11,複勝,3,190,
250930,24,11,２連単,1-3,230,1
250930,24,11,２連複,1-3,190,1
250930,24,11,拡連複,1-3,140,1
250930,24,11,拡連複,1-4,680,10
250930,24,11,拡連複,3-4,990,12
250930,24,11,３連単,1-3-4,2180,9
250930,24,11,３連複,1-3-4,1600,6
250930,24,12,単勝,1,140,
250930,24,12,複勝,1,100,
250930,24,12,複勝,5,150,
250930,24,12,２連単,1-5,320,2
250930,24,12,２連複,1-5,220,1
250930,24,12,拡連複,1-5,110,1
250930,24,12,拡連複,1-2,120,2
250930,24,12,拡連複,2-5,130,3
250930,24,12,３連単,1-5-2,550,2
250930,24,12,３連複,1-2-5,190,1
250930,23,1,単勝,1,140,
250930,23,1,複勝,1,100,
250930,23,1,複勝,4,140,
250930,23,1,２連単,1-4,340,2
250930,23,1,２連複,1-4,230,1
250930,23,1,拡連複,1-4,130,2
250930,23,1,拡連複,1-2,100,1
250930,23,1,拡連複,2-4,230,5
250930,23,1,３連単,1-4-2,790,2
250930,23,1,３連複,1-2-4,340,1
250930,23,2,単勝,6,2460,
250930,23,2,複勝,6,1760,
250930,23,2,複勝,2,150,
250930,23,2,２連単,6-2,38210,25
250930,23,2,２連複,2-6,6000,9
250930,23,2,拡連複,2-6,530,9
250930,23,2,拡連複,1-6,460,8
250930,23,2,拡連複,1-2,120,1
250930,23,2,３連単,6-2-1,69650,62
250930,23,2,３連複,1-2-6,930,4
250930,23,3,単勝,3,540,
250930,23,3,複勝,3,160,
250930,23,3,複勝,1,100,
250930,23,3,２連単,3-1,550,3
250930,23,3,２連複,1-3,110,1
250930,23,3,拡連複,1-3,100,1
250930,23,3,拡連複,2-3,280,7
250930,23,3,拡連複,1-2,170,2
250930,23,3,３連単,3-1-2,3300,12
250930,23,3,３連複,1-2-3,380,3
250930,23,4,単勝,3,900,
250930,23,4,複勝,3,220,
250930,23,4,複勝,5,1830,
250930,23,4,２連単,3-5,5480,24
250930,23,4,２連複,3-5,2640,13
250930,23,4,拡連複,3-5,800,10
250930,23,4,拡連複,3-6,340,5
250930,23,4,拡連複,5-6,740,8
250930,23,4,３連単,3-5-6,13880,59
250930,23,4,３連複,3-5-6,3820,16
250930,23,5,単勝,3,170,
250930,23,5,複勝,3,120,
250930,23,5,複勝,1,150,
250930,23,5,２連単,3-1,380,2
250930,23,5,２連複,1-3,190,1
250930,23,5,拡連複,1-3,130,1
250930,23,5,拡連複,3-4,310,6
250930,23,5,拡連複,1-4,200,3
250930,23,5,３連単,3-1-4,1430,3
250930,23,5,３連複,1-3-4,420,2
250930,23,6,単勝,5,400,
250930,23,6,複勝,5,300,
250930,23,6,複勝,2,300,
250930,23,6,２連単,5-2,4940,16
250930,23,6,２連複,2-5,2240,9
250930,23,6,拡連複,2-5,830,10
250930,23,6,拡連複,1-5,180,1
250930,23,6,拡連複,1-2,440,7
250930,23,6,３連単,5-2-1,18520,52
250930,23,6,３連複,1-2-5,1040,5
250930,23,7,単勝,1,130,
250930,23,7,複勝,1,120,
250930,23,7,複勝,2,250,
250930,23,7,２連単,1-2,480,1
250930,23,7,２連複,1-2,300,2
250930,23,7,拡連複,1-2,130,1
250930,23,7,拡連複,1-3,140,2
250930,23,7,拡連複,2-3,220,4
250930,23,7,３連単,1-2-3,900,1
250930,23,7,３連複,1-2-3,260,1
250930,23,8,単勝,1,310,
250930,23,8,複勝,1,120,
250930,23,8,複勝,4,190,
250930,23,8,２連単,1-4,620,3
250930,23,8,２連複,1-4,320,2
250930,23,8,拡連複,1-4,150,1
250930,23,8,拡連複,1-2,240,4
250930,23,8,拡連複,2-4,150,2
250930,23,8,３連単,1-4-2,1100,1
250930,23,8,３連複,1-2-4,240,1
250930,23,9,単勝,4,1100,
250930,23,9,複勝,4,540,
250930,23,9,複勝,1,260,
250930,23,9,２連単,4-1,6770,24
250930,23,9,２連複,1-4,1520,6
250930,23,9,拡連複,1-4,510,7
250930,23,9,拡連複,4-5,1000,13
250930,23,9,拡連複,1-5,300,4
250930,23,9,３連単,4-1-5,26170,76
250930,23,9,３連複,1-4-5,2280,10
250930,23,10,単勝,4,870,
250930,23,10,複勝,4,250,
250930,23,10,複勝,1,120,
250930,23,10,２連単,4-1,2230,7
250930,23,10,２連複,1-4,390,2
250930,23,10,拡連複,1-4,150,1
250930,23,10,拡連複,3-4,310,7
250930,23,10,拡連複,1-3,190,2
250930,23,10,３連単,4-1-3,8750,30
250930,23,10,３連複,1-3-4,530,1
250930,23,11,単勝,1,140,
250930,23,11,複勝,1,100,
250930,23,11,複勝,3,220,
250930,23,11,２連単,1-3,340,1
250930,23,11,２連複,1-3,280,1
250930,23,11,拡連複,1-3,160,1
250930,23,11,拡連複,1-6,320,6
250930,23,11,拡連複,3-6,260,4
250930,23,11,３連単,1-3-6,1270,2
250930,23,11,３連複,1-3-6,730,5
250930,23,12,単勝,1,100,
250930,23,12,複勝,1,100,
250930,23,12,複勝,2,200,
250930,23,12,２連単,1-2,310,2
250930,23,12,２連複,1-2,360,2
250930,23,12,拡連複,1-2,180,3
250930,23,12,拡連複,1-3,150,1
250930,23,12,拡連複,2-3,440,7
250930,23,12,３連単,1-2-3,670,1
250930,23,12,３連複,1-2-3,260,1
250930,21,1,単勝,4,930,
250930,21,1,複勝,4,110,
250930,21,1,複勝,1,120,
250930,21,1,２連単,4-1,1450,6
250930,21,1,２連複,1-4,430,3
250930,21,1,拡連複,1-4,160,2
250930,21,1,拡連複,4-5,470,9
250930,21,1,拡連複,1-5,190,3
250930,21,1,３連単,4-1-5,6390,16
250930,21,1,３連複,1-4-5,620,4
250930,21,2,単勝,1,120,
250930,21,2,複勝,1,100,
250930,21,2,複勝,6,180,
250930,21,2,２連単,1-6,830,3
250930,21,2,２連複,1-6,550,3
250930,21,2,拡連複,1-6,180,3
250930,21,2,拡連複,1-2,130,1
250930,21,2,拡連複,2-6,480,8
250930,21,2,３連単,1-6-2,1800,8
250930,21,2,３連複,1-2-6,430,3
250930,21,3,単勝,1,160,
250930,21,3,複勝,1,140,
250930,21,3,複勝,5,170,
250930,21,3,２連単,1-5,990,4
250930,21,3,２連複,1-5,650,3
250930,21,3,拡連複,1-5,150,3
250930,21,3,拡連複,1-3,100,1
250930,21,3,拡連複,3-5,140,2
250930,21,3,３連単,1-5-3,1670,6
250930,21,3,３連複,1-3-5,180,1
250930,21,4,単勝,1,100,
250930,21,4,複勝,1,100,
250930,21,4,複勝,5,250,
250930,21,4,２連単,1-5,900,5
250930,21,4,２連複,1-5,1210,4
250930,21,4,拡連複,1-5,230,3
250930,21,4,拡連複,1-4,210,2
250930,21,4,拡連複,4-5,1000,11
250930,21,4,３連単,1-5-4,4530,16
250930,21,4,３連複,1-4-5,1250,7
250930,21,5,単勝,1,120,
250930,21,5,複勝,1,100,
250930,21,5,複勝,3,300,
250930,21,5,２連単,1-3,450,2
250930,21,5,２連複,1-3,280,2
250930,21,5,拡連複,1-3,190,3
250930,21,5,拡連複,1-2,120,1
250930,21,5,拡連複,2-3,380,6
250930,21,5,３連単,1-3-2,1030,4
250930,21,5,３連複,1-2-3,440,1
250930,21,6,単勝,4,450,
250930,21,6,複勝,4,220,
250930,21,6,複勝,5,1070,
250930,21,6,２連単,4-5,2670,13
250930,21,6,２連複,4-5,3310,9
250930,21,6,拡連複,4-5,580,8
250930,21,6,拡連複,4-6,180,2
250930,21,6,拡連複,5-6,490,7
250930,21,6,３連単,4-5-6,6170,27
250930,21,6,３連複,4-5-6,1160,5
250930,21,7,単勝,3,340,
250930,21,7,複勝,3,100,
250930,21,7,複勝,1,100,
250930,21,7,２連単,3-1,620,3
250930,21,7,２連複,1-3,260,1
250930,21,7,拡連複,1-3,150,1
250930,21,7,拡連複,3-4,320,6
250930,21,7,拡連複,1-4,250,3
250930,21,7,３連単,3-1-4,2290,7
250930,21,7,３連複,1-3-4,490,2
250930,21,8,単勝,1,560,
250930,21,8,複勝,1,180,
250930,21,8,複勝,3,330,
250930,21,8,２連単,1-3,890,4
250930,21,8,２連複,1-3,460,2
250930,21,8,拡連複,1-3,240,5
250930,21,8,拡連複,1-2,200,3
250930,21,8,拡連複,2-3,150,1
250930,21,8,３連単,1-3-2,1880,4
250930,21,8,３連複,1-2-3,450,2
250930,21,9,単勝,1,170,
250930,21,9,複勝,1,100,
250930,21,9,複勝,3,110,
250930,21,9,２連単,1-3,300,1
250930,21,9,２連複,1-3,300,1
250930,21,9,拡連複,1-3,120,1
250930,21,9,拡連複,1-4,180,2
250930,21,9,拡連複,3-4,200,4
250930,21,9,３連単,1-3-4,860,1
250930,21,9,３連複,1-3-4,360,1
250930,21,10,単勝,1,140,
250930,21,10,複勝,1,100,
250930,21,10,複勝,2,200,
250930,21,10,２連単,1-2,380,3
250930,21,10,２連複,1-2,300,1
250930,21,10,拡連複,1-2,150,2
250930,21,10,拡連複,1-4,110,1
250930,21,10,拡連複,2-4,150,3
250930,21,10,３連単,1-2-4,820,1
250930,21,10,３連複,1-2-4,290,1
250930,21,11,単勝,1,110,
250930,21,11,複勝,1,100,
250930,21,11,複勝,4,190,
250930,21,11,２連単,1-4,550,3
250930,21,11,２連複,1-4,590,3
250930,21,11,拡連複,1-4,240,3
250930,21,11,拡連複,1-5,870,9
250930,21,11,拡連複,4-5,1010,11
250930,21,11,３連単,1-4-5,6510,17
250930,21,11,３連複,1-4-5,3000,10
250930,21,12,単勝,1,130,
250930,21,12,複勝,1,100,
250930,21,12,複勝,4,120,
250930,21,12,２連単,1-4,630,3
250930,21,12,２連複,1-4,450,3
250930,21,12,拡連複,1-4,150,1
250930,21,12,拡連複,1-3,170,3
250930,21,12,拡連複,3-4,230,4
250930,21,12,３連単,1-4-3,1370,5
250930,21,12,３連複,1-3-4,420,2
250930,20,1,単勝,3,700,
250930,20,1,複勝,3,280,
250930,20,1,複勝,1,120,
250930,20,1,２連単,3-1,1900,7
250930,20,1,２連複,1-3,530,2
250930,20,1,拡連複,1-3,330,5
250930,20,1,拡連複,3-5,760,13
250930,20,1,拡連複,1-5,250,2
250930,20,1,３連単,3-1-5,9030,28
250930,20,1,３連複,1-3-5,970,5
250930,20,2,単勝,1,250,
250930,20,2,複勝,1,130,
250930,20,2,複勝,5,130,
250930,20,2,２連単,1-5,990,3
250930,20,2,２連複,1-5,670,4
250930,20,2,拡連複,1-5,210,4
250930,20,2,拡連複,1-2,190,2
250930,20,2,拡連複,2-5,220,5
250930,20,2,３連単,1-5-2,2100,5
250930,20,2,３連複,1-2-5,400,1
250930,20,3,単勝,2,610,
250930,20,3,複勝,2,330,
250930,20,3,複勝,4,490,
250930,20,3,２連単,2-4,6530,19
250930,20,3,２連複,2-4,2510,10
250930,20,3,拡連複,2-4,790,10
250930,20,3,拡連複,1-2,180,3
250930,20,3,拡連複,1-4,350,5
250930,20,3,３連単,2-4-1,19680,56
250930,20,3,３連複,1-2-4,1700,8
250930,20,4,単勝,1,160,
250930,20,4,複勝,1,120,
250930,20,4,複勝,3,110,
250930,20,4,２連単,1-3,320,1
250930,20,4,２連複,1-3,190,1
250930,20,4,拡連複,1-3,120,1
250930,20,4,拡連複,1-2,230,4
250930,20,4,拡連複,2-3,220,3
250930,20,4,３連単,1-3-2,890,1
250930,20,4,３連複,1-2-3,420,2
250930,20,5,単勝,1,150,
250930,20,5,複勝,1,110,
250930,20,5,複勝,3,270,
250930,20,5,２連単,1-3,320,1
250930,20,5,２連複,1-3,270,2
250930,20,5,拡連複,1-3,140,2
250930,20,5,拡連複,1-4,190,3
250930,20,5,拡連複,3-4,230,4
250930,20,5,３連単,1-3-4,830,4
250930,20,5,３連複,1-3-4,430,3
250930,20,6,単勝,1,130,
250930,20,6,複勝,1,110,
250930,20,6,複勝,3,160,
250930,20,6,２連単,1-3,280,1
250930,20,6,２連複,1-3,410,2
250930,20,6,拡連複,1-3,130,1
250930,20,6,拡連複,1-2,280,4
250930,20,6,拡連複,2-3,590,9
250930,20,6,３連単,1-3-2,1330,4
250930,20,6,３連複,1-2-3,670,3
250930,20,7,単勝,1,110,
250930,20,7,複勝,1,150,
250930,20,7,複勝,2,170,
250930,20,7,２連単,1-2,290,1
250930,20,7,２連複,1-2,120,1
250930,20,7,拡連複,1-2,120,1
250930,20,7,拡連複,1-3,190,2
250930,20,7,拡連複,2-3,230,6
250930,20,7,３連単,1-2-3,680,2
250930,20,7,３連複,1-2-3,300,1
250930,20,8,単勝,1,150,
250930,20,8,複勝,1,100,
250930,20,8,複勝,4,180,
250930,20,8,２連単,1-4,1150,4
250930,20,8,２連複,1-4,1430,3
250930,20,8,拡連複,1-4,270,4
250930,20,8,拡連複,1-3,130,2
250930,20,8,拡連複,3-4,380,5
250930,20,8,３連単,1-4-3,3180,9
250930,20,8,３連複,1-3-4,540,2
250930,20,9,単勝,1,140,
250930,20,9,複勝,1,120,
250930,20,9,複勝,2,260,
250930,20,9,２連単,1-2,510,2
250930,20,9,２連複,1-2,400,2
250930,20,9,拡連複,1-2,240,5
250930,20,9,拡連複,1-3,130,1
250930,20,9,拡連複,2-3,180,2
250930,20,9,３連単,1-2-3,920,3
250930,20,9,３連複,1-2-3,360,2
250930,20,10,単勝,1,130,
250930,20,10,複勝,1,140,
250930,20,10,複勝,4,550,
250930,20,10,２連単,1-4,690,3
250930,20,10,２連複,1-4,530,2
250930,20,10,拡連複,1-4,190,2
250930,20,10,拡連複,1-2,570,7
250930,20,10,拡連複,2-4,590,8
250930,20,10,３連単,1-4-2,3760,13
250930,20,10,３連複,1-2-4,1260,5
250930,20,11,単勝,1,100,
250930,20,11,複勝,1,100,
250930,20,11,複勝,3,280,
250930,20,11,２連単,1-3,330,1
250930,20,11,２連複,1-3,370,3
250930,20,11,拡連複,1-3,140,1
250930,20,11,拡連複,1-2,150,3
250930,20,11,拡連複,2-3,370,7
250930,20,11,３連単,1-3-2,1090,5
250930,20,11,３連複,1-2-3,380,1
250930,20,12,単勝,1,110,
250930,20,12,複勝,1,100,
250930,20,12,複勝,5,130,
250930,20,12,２連単,1-5,400,3
250930,20,12,２連複,1-5,420,3
250930,20,12,拡連複,1-5,140,3
250930,20,12,拡連複,1-3,120,1
250930,20,12,拡連複,3-5,280,5
250930,20,12,３連単,1-5-3,1190,4
250930,20,12,３連複,1-3-5,320,1
250930,19,1,単勝,1,110,
250930,19,1,複勝,1,100,
250930,19,1,複勝,5,130,
250930,19,1,２連単,1-5,520,2
250930,19,1,２連複,1-5,120,1
250930,19,1,拡連複,1-5,160,1
250930,19,1,拡連複,1-2,240,4
250930,19,1,拡連複,2-5,250,5
250930,19,1,３連単,1-5-2,1880,6
250930,19,1,３連複,1-2-5,670,2
250930,19,2,単勝,1,170,
250930,19,2,複勝,1,100,
250930,19,2,複勝,5,100,
250930,19,2,２連単,1-5,370,1
250930,19,2,２連複,1-5,190,1
250930,19,2,拡連複,1-5,110,1
250930,19,2,拡連複,1-3,240,6
250930,19,2,拡連複,3-5,220,5
250930,19,2,３連単,1-5-3,930,2
250930,19,2,３連複,1-3-5,250,2
250930,19,3,単勝,1,110,
250930,19,3,複勝,1,110,
250930,19,3,複勝,5,130,
250930,19,3,２連単,1-5,450,2
250930,19,3,２連複,1-5,210,1
250930,19,3,拡連複,1-5,150,1
250930,19,3,拡連複,1-3,440,7
250930,19,3,拡連複,3-5,760,12
250930,19,3,３連単,1-5-3,2800,8
250930,19,3,３連複,1-3-5,840,4
250930,19,4,単勝,5,240,
250930,19,4,複勝,5,130,
250930,19,4,複勝,4,120,
250930,19,4,２連単,5-4,620,4
250930,19,4,２連複,4-5,400,2
250930,19,4,拡連複,4-5,120,3
250930,19,4,拡連複,1-5,120,2
250930,19,4,拡連複,1-4,100,1
250930,19,4,３連単,5-4-1,1220,6
250930,19,4,３連複,1-4-5,230,1
250930,19,5,単勝,3,910,
250930,19,5,複勝,3,320,
250930,19,5,複勝,5,270,
250930,19,5,２連単,3-5,2740,11
250930,19,5,２連複,3-5,1410,4
250930,19,5,拡連複,3-5,140,3
250930,19,5,拡連複,3-4,130,2
250930,19,5,拡連複,4-5,100,1
250930,19,5,３連単,3-5-4,2530,10
250930,19,5,３連複,3-4-5,270,1
250930,19,6,単勝,1,170,
250930,19,6,複勝,1,100,
250930,19,6,複勝,6,170,
250930,19,6,２連単,1-6,520,2
250930,19,6,２連複,1-6,250,1
250930,19,6,拡連複,1-6,170,2
250930,19,6,拡連複,1-4,130,1
250930,19,6,拡連複,4-6,180,3
250930,19,6,３連単,1-6-4,1060,3
250930,19,6,３連複,1-4-6,290,1
250930,19,7,単勝,1,100,
250930,19,7,複勝,1,100,
250930,19,7,複勝,3,140,
250930,19,7,２連単,1-3,320,1
250930,19,7,２連複,1-3,300,2
250930,19,7,拡連複,1-3,130,1
250930,19,7,拡連複,1-6,140,3
250930,19,7,拡連複,3-6,140,2
250930,19,7,３連単,1-3-6,600,1
250930,19,7,３連複,1-3-6,200,1
250930,19,8,単勝,1,100,
250930,19,8,複勝,1,100,
250930,19,8,複勝,2,240,
250930,19,8,２連単,1-2,540,3
250930,19,8,２連複,1-2,600,3
250930,19,8,拡連複,1-2,250,4
250930,19,8,拡連複,1-3,190,3
250930,19,8,拡連複,2-3,390,6
250930,19,8,３連単,1-2-3,2160,8
250930,19,8,３連複,1-2-3,460,2
250930,19,9,単勝,1,120,
250930,19,9,複勝,1,100,
250930,19,9,複勝,4,250,
250930,19,9,２連単,1-4,850,4
250930,19,9,２連複,1-4,680,3
250930,19,9,拡連複,1-4,200,2
250930,19,9,拡連複,1-6,490,7
250930,19,9,拡連複,4-6,1270,11
250930,19,9,３連単,1-4-6,5900,17
250930,19,9,３連複,1-4-6,3620,9
250930,19,10,単勝,1,110,
250930,19,10,複勝,1,100,
250930,19,10,複勝,3,110,
250930,19,10,２連単,1-3,280,2
250930,19,10,２連複,1-3,270,2
250930,19,10,拡連複,1-3,130,1
250930,19,10,拡連複,1-4,390,7
250930,19,10,拡連複,3-4,620,10
250930,19,10,３連単,1-3-4,1780,5
250930,19,10,３連複,1-3-4,1300,5
250930,19,11,単勝,1,150,
250930,19,11,複勝,1,110,
250930,19,11,複勝,3,500,
250930,19,11,２連単,1-3,260,1
250930,19,11,２連複,1-3,330,2
250930,19,11,拡連複,1-3,120,2
250930,19,11,拡連複,1-2,120,1
250930,19,11,拡連複,2-3,280,6
250930,19,11,３連単,1-3-2,760,2
250930,19,11,３連複,1-2-3,250,1
250930,19,12,単勝,1,120,
250930,19,12,複勝,1,100,
250930,19,12,複勝,4,150,
250930,19,12,２連単,1-4,510,3
250930,19,12,２連複,1-4,690,4
250930,19,12,拡連複,1-4,160,3
250930,19,12,拡連複,1-3,130,1
250930,19,12,拡連複,3-4,230,5
250930,19,12,３連単,1-4-3,1690,7
250930,19,12,３連複,1-3-4,370,3
250930,15,1,単勝,3,550,
250930,15,1,複勝,3,150,
250930,15,1,複勝,2,180,
250930,15,1,２連単,3-2,2630,13
250930,15,1,２連複,2-3,1480,7
250930,15,1,拡連複,2-3,440,7
250930,15,1,拡連複,1-3,290,3
250930,15,1,拡連複,1-2,230,2
250930,15,1,３連単,3-2-1,6200,26
250930,15,1,３連複,1-2-3,390,1
250930,15,2,単勝,1,100,
250930,15,2,複勝,1,100,
250930,15,2,複勝,2,100,
250930,15,2,２連単,1-2,190,1
250930,15,2,２連複,1-2,120,1
250930,15,2,拡連複,1-2,140,2
250930,15,2,拡連複,1-3,120,1
250930,15,2,拡連複,2-3,230,4
250930,15,2,３連単,1-2-3,410,1
250930,15,2,３連複,1-2-3,200,1
250930,15,3,単勝,1,140,
250930,15,3,複勝,1,100,
250930,15,3,複勝,2,360,
250930,15,3,２連単,1-2,600,3
250930,15,3,２連複,1-2,640,4
250930,15,3,拡連複,1-2,360,8
250930,15,3,拡連複,1-4,130,1
250930,15,3,拡連複,2-4,350,7
250930,15,3,３連単,1-2-4,1830,7
250930,15,3,３連複,1-2-4,570,2
250930,15,4,単勝,6,430,
250930,15,4,複勝,6,160,
250930,15,4,複勝,3,270,
250930,15,4,２連単,6-3,6300,23
250930,15,4,２連複,3-6,1800,10
250930,15,4,拡連複,3-6,280,5
250930,15,4,拡連複,1-6,290,6
250930,15,4,拡連複,1-3,120,1
250930,15,4,３連単,6-3-1,16630,66
250930,15,4,３連複,1-3-6,660,3
250930,15,5,単勝,1,110,
250930,15,5,複勝,1,120,
250930,15,5,複勝,2,410,
250930,15,5,２連単,1-2,970,4
250930,15,5,２連複,1-2,700,4
250930,15,5,拡連複,1-2,280,4
250930,15,5,拡連複,1-5,120,1
250930,15,5,拡連複,2-5,380,6
250930,15,5,３連単,1-2-5,1870,7
250930,15,5,３連複,1-2-5,550,3
250930,15,6,単勝,1,110,
250930,15,6,複勝,1,150,
250930,15,6,複勝,5,150,
250930,15,6,２連単,1-5,290,1
250930,15,6,２連複,1-5,260,1
250930,15,6,拡連複,1-5,130,1
250930,15,6,拡連複,1-3,280,6
250930,15,6,拡連複,3-5,410,7
250930,15,6,３連単,1-5-3,1320,5
250930,15,6,３連複,1-3-5,480,3
250930,15,7,単勝,1,120,
250930,15,7,複勝,1,100,
250930,15,7,複勝,5,150,
250930,15,7,２連単,1-5,250,1
250930,15,7,２連複,1-5,190,1
250930,15,7,拡連複,1-5,110,1
250930,15,7,拡連複,1-6,240,6
250930,15,7,拡連複,5-6,230,4
250930,15,7,３連単,1-5-6,780,3
250930,15,7,３連複,1-5-6,410,3
250930,15,8,単勝,1,220,
250930,15,8,複勝,1,100,
250930,15,8,複勝,2,150,
250930,15,8,２連単,1-2,450,2
250930,15,8,２連複,1-2,240,2
250930,15,8,拡連複,1-2,120,1
250930,15,8,拡連複,1-5,260,5
250930,15,8,拡連複,2-5,340,6
250930,15,8,３連単,1-2-5,3740,11
250930,15,8,３連複,1-2-5,1470,5
250930,15,9,単勝,1,110,
250930,15,9,複勝,1,100,
250930,15,9,複勝,2,150,
250930,15,9,２連単,1-2,220,1
250930,15,9,２連複,1-2,180,1
250930,15,9,拡連複,1-2,120,1
250930,15,9,拡連複,1-3,140,2
250930,15,9,拡連複,2-3,230,4
250930,15,9,３連単,1-2-3,570,1
250930,15,9,３連複,1-2-3,390,2
250930,15,10,単勝,1,100,
250930,15,10,複勝,1,100,
250930,15,10,複勝,3,160,
250930,15,10,２連単,1-3,300,2
250930,15,10,２連複,1-3,230,1
250930,15,10,拡連複,1-3,100,1
250930,15,10,拡連複,1-2,110,2
