hd,jcd,rno,shiki,combo,payout,ninki
260721,23,1,単勝,1,140,
260721,23,1,複勝,1,100,
260721,23,1,複勝,2,120,
260721,23,1,２連単,1-2,190,1
260721,23,1,２連複,1-2,220,1
260721,23,1,拡連複,1-2,110,1
260721,23,1,拡連複,1-3,240,4
260721,23,1,拡連複,2-3,340,6
260721,23,1,３連単,1-2-3,710,3
260721,23,1,３連複,1-2-3,360,3
260721,23,2,単勝,1,500,
260721,23,2,複勝,1,100,
260721,23,2,複勝,2,100,
260721,23,2,２連単,1-2,190,1
260721,23,2,２連複,1-2,150,1
260721,23,2,拡連複,1-2,110,2
260721,23,2,拡連複,1-4,110,1
260721,23,2,拡連複,2-4,180,4
260721,23,2,３連単,1-2-4,700,2
260721,23,2,３連複,1-2-4,310,2
260721,23,3,単勝,1,110,
260721,23,3,複勝,1,120,
260721,23,3,複勝,5,470,
260721,23,3,２連単,1-5,1260,4
260721,23,3,２連複,1-5,1120,4
260721,23,3,拡連複,1-5,240,3
260721,23,3,拡連複,1-4,400,7
260721,23,3,拡連複,4-5,710,8
260721,23,3,３連単,1-5-4,7650,20
260721,23,3,３連複,1-4-5,2880,7
260721,23,4,単勝,2,170,
260721,23,4,複勝,2,100,
260721,23,4,複勝,1,120,
260721,23,4,２連単,2-1,320,1
260721,23,4,２連複,1-2,210,1
260721,23,4,拡連複,1-2,150,1
260721,23,4,拡連複,2-4,170,2
260721,23,4,拡連複,1-4,370,7
260721,23,4,３連単,2-1-4,1040,3
260721,23,4,３連複,1-2-4,540,3
260721,23,5,単勝,1,110,
260721,23,5,複勝,1,100,
260721,23,5,複勝,3,130,
260721,23,5,２連単,1-3,260,1
260721,23,5,２連複,1-3,210,1
260721,23,5,拡連複,1-3,170,3
260721,23,5,拡連複,1-2,180,4
260721,23,5,拡連複,2-3,270,5
260721,23,5,３連単,1-3-2,770,3
260721,23,5,３連複,1-2-3,420,2
260721,23,6,単勝,1,180,
260721,23,6,複勝,1,120,
260721,23,6,複勝,2,130,
260721,23,6,２連単,1-2,610,3
260721,23,6,２連複,1-2,290,2
260721,23,6,拡連複,1-2,150,1
260721,23,6,拡連複,1-3,160,3
260721,23,6,拡連複,2-3,150,2
