hd,jcd,rno,shiki,combo,payout,ninki
260331,24,1,単勝,1,160,
260331,24,1,複勝,1,100,
260331,24,1,複勝,4,300,
260331,24,1,２連単,1-4,740,3
260331,24,1,２連複,1-4,690,3
260331,24,1,拡連複,1-4,210,3
260331,24,1,拡連複,1-3,140,1
260331,24,1,拡連複,3-4,310,5
260331,24,1,３連単,1-4-3,1530,5
260331,24,1,３連複,1-3-4,280,2
260331,24,2,単勝,6,260,
260331,24,2,複勝,6,110,
260331,24,2,複勝,2,170,
260331,24,2,２連単,6-2,1970,12
260331,24,2,２連複,2-6,800,5
260331,24,2,拡連複,2-6,330,6
260331,24,2,拡連複,5-6,5980,13
260331,24,2,拡連複,2-5,2440,11
260331,24,2,３連単,6-2-5,35730,66
260331,24,2,３連複,2-5-6,20240,19
260331,24,3,単勝,4,340,
260331,24,3,複勝,4,310,
260331,24,3,複勝,3,500,
260331,24,3,２連単,4-3,1770,9
260331,24,3,２連複,3-4,1310,7
260331,24,3,拡連複,3-4,270,3
260331,24,3,拡連複,4-6,360,7
260331,24,3,拡連複,3-6,480,9
260331,24,3,３連単,4-3-6,6870,31
260331,24,3,３連複,3-4-6,2130,8
260331,24,4,単勝,4,210,
260331,24,4,複勝,4,270,
260331,24,4,複勝,5,250,
260331,24,4,２連単,4-5,700,2
260331,24,4,２連複,4-5,590,4
260331,24,4,拡連複,4-5,210,1
260331,24,4,拡連複,3-4,270,5
260331,24,4,拡連複,3-5,230,3
260331,24,4,３連単,4-5-3,2600,8
260331,24,4,３連複,3-4-5,480,1
260331,24,5,単勝,4,210,
260331,24,5,複勝,4,190,
260331,24,5,複勝,1,240,
260331,24,5,２連単,4-1,1050,4
260331,24,5,２連複,1-4,540,2
260331,24,5,拡連複,1-4,220,3
260331,24,5,拡連複,2-4,280,5
260331,24,5,拡連複,1-2,450,9
260331,24,5,３連単,4-1-2,4280,23
260331,24,5,３連複,1-2-4,730,4
260331,24,6,単勝,5,1640,
260331,24,6,複勝,5,110,
260331,24,6,複勝,1,230,
260331,24,6,２連単,5-1,4340,10
260331,24,6,２連複,1-5,1670,5
260331,24,6,拡連複,1-5,200,4
260331,24,6,拡連複,2-5,120,2
260331,24,6,拡連複,1-2,120,1
260331,24,6,３連単,5-1-2,7770,22
260331,24,6,３連複,1-2-5,320,1
260331,24,7,単勝,2,530,
260331,24,7,複勝,2,190,
260331,24,7,複勝,4,220,
260331,24,7,２連単,2-4,3660,11
260331,24,7,２連複,2-4,1390,5
260331,24,7,拡連複,2-4,330,6
260331,24,7,拡連複,2-3,190,2
260331,24,7,拡連複,3-4,320,5
260331,24,7,３連単,2-4-3,12650,32
260331,24,7,３連複,2-3-4,2040,6
260331,24,8,単勝,1,260,
260331,24,8,複勝,1,170,
260331,24,8,複勝,5,200,
260331,24,8,２連単,1-5,930,5
260331,24,8,２連複,1-5,840,4
260331,24,8,拡連複,1-5,280,5
260331,24,8,拡連複,1-6,370,7
260331,24,8,拡連複,5-6,560,9
260331,24,8,３連単,1-5-6,3630,13
260331,24,8,３連複,1-5-6,1690,8
260331,24,9,単勝,1,150,
260331,24,9,複勝,1,100,
260331,24,9,複勝,5,170,
260331,24,9,２連単,1-5,600,3
260331,24,9,２連複,1-5,420,2
260331,24,9,拡連複,1-5,150,2
260331,24,9,拡連複,1-2,130,1
260331,24,9,拡連複,2-5,250,6
260331,24,9,３連単,1-5-2,1640,5
260331,24,9,３連複,1-2-5,400,1
260331,24,10,単勝,1,220,
260331,24,10,複勝,1,110,
260331,24,10,複勝,2,150,
260331,24,10,２連単,1-2,420,1
260331,24,10,２連複,1-2,250,1
260331,24,10,拡連複,1-2,130,1
260331,24,10,拡連複,1-5,150,2
260331,24,10,拡連複,2-5,150,3
260331,24,10,３連単,1-2-5,960,1
260331,24,10,３連複,1-2-5,300,1
260331,24,11,単勝,1,120,
260331,24,11,複勝,1,100,
260331,24,11,複勝,2,130,
260331,24,11,２連単,1-2,210,1
260331,24,11,２連複,1-2,180,1
260331,24,11,拡連複,1-2,130,1
260331,24,11,拡連複,1-6,280,5
260331,24,11,拡連複,2-6,500,9
260331,24,11,３連単,1-2-6,810,2
260331,24,11,３連複,1-2-6,470,2
260331,24,12,単勝,1,110,
260331,24,12,複勝,1,100,
260331,24,12,複勝,3,100,
260331,24,12,２連単,1-3,170,1
260331,24,12,２連複,1-3,140,1
260331,24,12,拡連複,1-3,100,1
260331,24,12,拡連複,1-2,110,2
260331,24,12,拡連複,2-3,140,4
260331,24,12,３連単,1-3-2,350,1
260331,24,12,３連複,1-2-3,180,2
260331,23,1,単勝,1,100,
260331,23,1,複勝,1,100,
260331,23,1,複勝,3,130,
260331,23,1,２連単,1-3,270,1
260331,23,1,２連複,1-3,220,2
260331,23,1,拡連複,1-3,150,1
260331,23,1,拡連複,1-2,170,3
260331,23,1,拡連複,2-3,360,7
