hd,jcd,rno,waku,toban,grade,localWin,motor2
20250721,12,8,2,3907,B1,7.31,31.34
20250721,12,8,3,4012,A2,5.51,30.16
20250721,12,8,4,5091,A2,4.00,46.77
20250721,12,8,5,4156,A2,6.27,29.03
20250721,12,8,6,4196,B1,7.00,27.69
20250721,12,9,1,5000,B1,6.06,58.21
20250721,12,9,2,5126,A2,4.43,42.42
20250721,12,9,3,4557,A2,5.33,33.33
20250721,12,9,4,3892,B1,6.52,24.19
20250721,12,9,5,4509,A1,6.50,44.12
20250721,12,9,6,4258,B1,4.26,29.69
20250721,12,10,1,5075,A2,5.86,42.42
20250721,12,10,2,4960,A2,6.00,43.75
20250721,12,10,3,4540,B1,5.89,31.82
20250721,12,10,4,4263,A1,5.57,37.88
20250721,12,10,5,4331,B1,5.28,47.62
20250721,12,10,6,4472,A1,6.78,34.38
20250721,12,11,1,4361,A1,6.76,39.39
20250721,12,11,2,5002,A1,0.00,49.09
20250721,12,11,3,4348,A2,6.39,36.67
20250721,12,11,4,4446,A1,6.53,29.51
20250721,12,11,5,4159,A2,7.14,18.18
20250721,12,11,6,4526,A2,7.17,35.48
20250721,12,12,1,4044,A1,6.75,27.42
20250721,12,12,2,4061,A1,6.68,25.37
20250721,12,12,3,4570,A1,6.46,45.16
20250721,12,12,4,4959,A1,6.73,31.25
20250721,12,12,5,4702,A1,6.00,35.82
20250721,12,12,6,4171,A1,6.42,43.75
20250721,13,1,1,4404,B1,3.86,38.54
20250721,13,1,2,5047,B1,3.00,22.62
20250721,13,1,3,4732,A1,0.00,27.66
20250721,13,1,4,4656,B1,4.92,25.30
20250721,13,1,5,4346,B1,3.57,30.11
20250721,13,1,6,5375,B2,0.00,34.74
20250721,13,2,1,4790,A2,5.65,8.70
20250721,13,2,2,5014,B1,4.35,24.39
20250721,13,2,3,4615,B1,0.00,20.43
20250721,13,2,4,4934,A1,5.14,30.43
20250721,13,2,5,5403,B2,0.00,20.48
20250721,13,2,6,4945,B1,6.18,52.13
20250721,13,3,1,3788,B1,4.89,28.26
20250721,13,3,2,4522,A1,7.89,20.69
20250721,13,3,3,3963,A2,6.67,37.36
